row_index,WTUR.TmHvElt.actTmVal
455,49638.02
456,49638.02
457,49638.02
458,49638.02
459,49638.03
460,49638.03
461,49638.03
462,49638.03
463,49638.03
464,49638.04
465,49638.04
466,49638.04
467,49638.04
468,49638.04
469,49638.05
470,49638.05
471,49638.05
472,49638.05
473,49638.05
474,49638.06
475,49638.06
476,49638.06
477,49638.06
478,49638.06
479,49638.07
480,49638.07
481,49638.07
482,49638.07
483,49638.07
484,49638.08
485,49638.08
486,49638.08
487,49638.08
488,49638.08
489,49638.09
490,49638.09
491,49638.09
492,49638.09
493,49638.09
494,49638.1
495,49638.1
496,49638.1
497,49638.1
498,49638.1
499,49638.11
500,49638.11
501,49638.11
502,49638.11
503,49638.11
504,49638.12
505,49638.12
506,49638.12
507,49638.12
508,49638.12
509,49638.12
510,49638.13
511,49638.13
512,49638.13
513,49638.13
514,49638.13
515,49638.14
516,49638.14
517,49638.14
518,49638.14
519,49638.14
520,49638.15
521,49638.15
522,49638.15
523,49638.15
524,49638.15
525,49638.16
526,49638.16
527,49638.16
528,49638.16
529,49638.16
530,49638.17
531,49638.17
532,49638.17
533,49638.17
534,49638.17
535,49638.18
536,49638.18
537,49638.18
538,49638.18
539,49638.18
540,49638.19
541,49638.19
542,49638.19
543,49638.19
544,49638.19
545,49638.2
546,49638.2
547,49638.2
548,49638.2
549,49638.2
550,49638.21
551,49638.21
552,49638.21
553,49638.21
554,49638.21
555,49638.22
556,49638.22
557,49638.22
558,49638.22
559,49638.22
560,49638.23
561,49638.23
562,49638.23
563,49638.23
564,49638.23
565,49638.24
566,49638.24
567,49638.24
568,49638.24
569,49638.25
570,49638.25
571,49638.25
572,49638.25
573,49638.25
574,49638.26
575,49638.26
576,49638.26
577,49638.26
578,49638.26
579,49638.27
580,49638.27
581,49638.27
582,49638.27
583,49638.27
584,49638.28
585,49638.28
586,49638.28
587,49638.28
588,49638.28
589,49638.28
590,49638.29
591,49638.29
592,49638.29
593,49638.29
594,49638.29
595,49638.3
596,49638.3
597,49638.3
598,49638.3
599,49638.3
600,49638.31
601,49638.31
602,49638.31
603,49638.31
604,49638.31
605,49638.32
606,49638.32
607,49638.32
608,49638.32
609,49638.32
610,49638.33
611,49638.33
612,49638.33
613,49638.33
614,49638.33
615,49638.34
616,49638.34
617,49638.34
618,49638.34
619,49638.34
620,49638.35
621,49638.35
622,49638.35
623,49638.35
624,49638.35
625,49638.36
626,49638.36
627,49638.36
628,49638.36
629,49638.36
630,49638.37
631,49638.37
632,49638.37
633,49638.37
634,49638.37
635,49638.38
636,49638.38
637,49638.38
638,49638.38
639,49638.38
640,49638.39
641,49638.39
642,49638.39
643,49638.39
644,49638.39
645,49638.4
646,49638.4
647,49638.4
648,49638.4
649,49638.4
650,49638.41
651,49638.41
652,49638.41
653,49638.41
654,49638.41
655,49638.42
656,49638.42
657,49638.42
658,49638.42
659,49638.42
660,49638.43
661,49638.43
662,49638.43
663,49638.43
664,49638.43
665,49638.44
666,49638.44
667,49638.44
668,49638.44
669,49638.44
670,49638.45
671,49638.45
672,49638.45
673,49638.45
674,49638.45
675,49638.45
676,49638.46
677,49638.46
678,49638.46
679,49638.46
680,49638.46
681,49638.47
682,49638.47
683,49638.47
684,49638.47
685,49638.47
686,49638.48
687,49638.48
688,49638.48
689,49638.48
690,49638.48
691,49638.49
692,49638.49
693,49638.49
694,49638.49
695,49638.49
696,49638.5
697,49638.5
698,49638.5
699,49638.5
700,49638.5
701,49638.51
702,49638.51
703,49638.51
704,49638.51
705,49638.51
706,49638.52
707,49638.52
708,49638.52
709,49638.52
710,49638.52
711,49638.53
712,49638.53
713,49638.53
714,49638.53
715,49638.53
716,49638.54
717,49638.54
718,49638.54
719,49638.54
720,49638.54
721,49638.55
722,49638.55
723,49638.55
724,49638.55
725,49638.55
726,49638.56
727,49638.56
728,49638.56
729,49638.56
730,49638.56
731,49638.57
732,49638.57
733,49638.57
734,49638.57
735,49638.57
736,49638.58
737,49638.58
738,49638.58
739,49638.58
740,49638.58
741,49638.59
742,49638.59
743,49638.59
744,49638.59
745,49638.59
746,49638.6
747,49638.6
748,49638.6
749,49638.6
750,49638.61
751,49638.61
752,49638.61
753,49638.61
754,49638.61
755,49638.62
756,49638.62
757,49638.62
758,49638.62
759,49638.62
760,49638.62
761,49638.63
762,49638.63
763,49638.63
764,49638.63
765,49638.63
766,49638.64
767,49638.64
768,49638.64
769,49638.64
770,49638.64
771,49638.65
772,49638.65
773,49638.65
774,49638.65
775,49638.65
776,49638.66
777,49638.66
778,49638.66
779,49638.66
780,49638.66
781,49638.67
782,49638.67
783,49638.67
784,49638.67
785,49638.67
786,49638.68
787,49638.68
788,49638.68
789,49638.68
790,49638.68
791,49638.69
