row_index,WTUR.tower_base_main_switch_temp
1,850.0
2,850.0
3,850.0
4,850.0
5,850.0
6,850.0
7,850.0
8,850.0
9,850.0
10,850.0
11,850.0
12,850.0
13,850.0
14,850.0
15,850.0
16,850.0
17,850.0
18,850.0
19,850.0
20,850.0
21,850.0
22,850.0
23,850.0
24,850.0
25,850.0
26,850.0
27,850.0
28,850.0
29,850.0
30,850.0
31,850.0
32,850.0
33,850.0
34,850.0
35,850.0
36,850.0
37,850.0
38,850.0
39,850.0
40,850.0
41,850.0
42,850.0
43,850.0
44,850.0
45,850.0
46,850.0
47,850.0
48,850.0
49,850.0
50,850.0
51,850.0
52,850.0
53,850.0
54,850.0
55,850.0
56,850.0
57,850.0
58,850.0
59,850.0
60,850.0
61,850.0
62,850.0
63,850.0
64,850.0
65,850.0
66,850.0
67,850.0
68,850.0
69,850.0
70,850.0
71,850.0
72,850.0
73,850.0
74,850.0
75,850.0
76,850.0
77,850.0
78,850.0
79,850.0
80,850.0
81,850.0
82,850.0
83,850.0
84,850.0
85,850.0
86,850.0
87,850.0
88,850.0
89,850.0
90,850.0
91,850.0
92,850.0
93,850.0
94,850.0
95,850.0
96,850.0
97,850.0
98,850.0
99,850.0
100,850.0
101,850.0
102,850.0
103,850.0
104,850.0
105,850.0
106,850.0
107,850.0
108,850.0
109,850.0
110,850.0
111,850.0
112,850.0
113,850.0
114,850.0
115,850.0
116,850.0
117,850.0
118,850.0
119,850.0
120,850.0
121,850.0
122,850.0
123,850.0
124,850.0
125,850.0
126,850.0
127,850.0
128,850.0
129,850.0
130,850.0
131,850.0
132,850.0
133,850.0
134,850.0
135,850.0
136,850.0
137,850.0
138,850.0
139,850.0
140,850.0
141,850.0
142,850.0
143,850.0
144,850.0
145,850.0
146,850.0
147,850.0
148,850.0
149,850.0
150,850.0
151,850.0
152,850.0
153,850.0
154,850.0
155,850.0
156,850.0
157,850.0
158,850.0
159,850.0
160,850.0
161,850.0
162,850.0
163,850.0
164,850.0
165,850.0
166,850.0
167,850.0
168,850.0
169,850.0
170,850.0
171,850.0
172,850.0
173,850.0
174,850.0
175,850.0
176,850.0
177,850.0
178,850.0
179,850.0
180,850.0
181,850.0
182,850.0
183,850.0
184,850.0
185,850.0
186,850.0
187,850.0
188,850.0
189,850.0
190,850.0
191,850.0
192,850.0
193,850.0
194,850.0
195,850.0
196,850.0
197,850.0
198,850.0
199,850.0
200,850.0
201,850.0
202,850.0
203,850.0
204,850.0
205,850.0
206,850.0
207,850.0
208,850.0
209,850.0
210,850.0
211,850.0
212,850.0
213,850.0
214,850.0
215,850.0
216,850.0
217,850.0
218,850.0
219,850.0
220,850.0
221,850.0
222,850.0
223,850.0
224,850.0
225,850.0
226,850.0
227,850.0
228,850.0
229,850.0
230,850.0
231,850.0
232,850.0
233,850.0
234,850.0
235,850.0
236,850.0
237,850.0
238,850.0
239,850.0
240,850.0
241,850.0
242,850.0
243,850.0
244,850.0
245,850.0
246,850.0
247,850.0
248,850.0
249,850.0
250,850.0
251,850.0
252,850.0
253,850.0
254,850.0
255,850.0
256,850.0
257,850.0
258,850.0
259,850.0
260,850.0
261,850.0
262,850.0
263,850.0
264,850.0
265,850.0
266,850.0
267,850.0
268,850.0
269,850.0
270,850.0
271,850.0
272,850.0
273,850.0
274,850.0
275,850.0
276,850.0
277,850.0
278,850.0
279,850.0
280,850.0
281,850.0
282,850.0
283,850.0
284,850.0
285,850.0
286,850.0
287,850.0
288,850.0
289,850.0
290,850.0
291,850.0
292,850.0
293,850.0
294,850.0
295,850.0
296,850.0
297,850.0
298,850.0
299,850.0
300,850.0
301,850.0
302,850.0
303,850.0
304,850.0
305,850.0
306,850.0
307,850.0
308,850.0
309,850.0
310,850.0
311,850.0
312,850.0
313,850.0
314,850.0
315,850.0
316,850.0
317,850.0
318,850.0
319,850.0
320,850.0
321,850.0
322,850.0
323,850.0
324,850.0
325,850.0
326,850.0
327,850.0
328,850.0
329,850.0
330,850.0
331,850.0
332,850.0
333,850.0
334,850.0
335,850.0
336,850.0
337,850.0
338,850.0
339,850.0
340,850.0
341,850.0
342,850.0
343,850.0
344,850.0
345,850.0
346,850.0
347,850.0
348,850.0
349,850.0
350,850.0
351,850.0
352,850.0
353,850.0
354,850.0
355,850.0
356,850.0
357,850.0
358,850.0
359,850.0
360,850.0
361,850.0
362,850.0
363,850.0
364,850.0
365,850.0
366,850.0
367,850.0
368,850.0
369,850.0
370,850.0
371,850.0
372,850.0
373,850.0
374,850.0
375,850.0
376,850.0
377,850.0
378,850.0
379,850.0
380,850.0
381,850.0
382,850.0
383,850.0
384,850.0
385,850.0
386,850.0
387,850.0
388,850.0
389,850.0
390,850.0
391,850.0
392,850.0
393,850.0
394,850.0
395,850.0
396,850.0
397,850.0
398,850.0
399,850.0
400,850.0
401,850.0
402,850.0
403,850.0
404,850.0
405,850.0
406,850.0
407,850.0
408,850.0
409,850.0
410,850.0
411,850.0
412,850.0
413,850.0
414,850.0
415,850.0
416,850.0
417,850.0
418,850.0
419,850.0
420,850.0
421,850.0
422,850.0
423,850.0
424,850.0
425,850.0
426,850.0
427,850.0
428,850.0
429,850.0
430,850.0
431,850.0
432,850.0
433,850.0
434,850.0
435,850.0
436,850.0
437,850.0
438,850.0
439,850.0
440,850.0
441,850.0
442,850.0
443,850.0
444,850.0
445,850.0
446,850.0
447,850.0
448,850.0
449,850.0
450,850.0
451,850.0
452,850.0
453,850.0
454,850.0
455,850.0
456,850.0
457,850.0
458,850.0
459,850.0
460,850.0
461,850.0
462,850.0
463,850.0
464,850.0
465,850.0
466,850.0
467,850.0
468,850.0
469,850.0
470,850.0
471,850.0
472,850.0
473,850.0
474,850.0
475,850.0
476,850.0
477,850.0
478,850.0
479,850.0
480,850.0
481,850.0
482,850.0
483,850.0
484,850.0
485,850.0
486,850.0
487,850.0
488,850.0
489,850.0
490,850.0
491,850.0
492,850.0
493,850.0
494,850.0
495,850.0
496,850.0
497,850.0
498,850.0
499,850.0
500,850.0
501,850.0
502,850.0
503,850.0
504,850.0
505,850.0
506,850.0
507,850.0
508,850.0
509,850.0
510,850.0
511,850.0
512,850.0
513,850.0
514,850.0
515,850.0
516,850.0
517,850.0
518,850.0
519,850.0
520,850.0
521,850.0
522,850.0
523,850.0
524,850.0
525,850.0
526,850.0
527,850.0
528,850.0
529,850.0
530,850.0
531,850.0
532,850.0
533,850.0
534,850.0
535,850.0
536,850.0
537,850.0
538,850.0
539,850.0
540,850.0
541,850.0
542,850.0
543,850.0
544,850.0
545,850.0
546,850.0
547,850.0
548,850.0
549,850.0
550,850.0
551,850.0
552,850.0
553,850.0
554,850.0
555,850.0
556,850.0
557,850.0
558,850.0
559,850.0
560,850.0
561,850.0
562,850.0
563,850.0
564,850.0
565,850.0
566,850.0
567,850.0
568,850.0
569,850.0
570,850.0
571,850.0
572,850.0
573,850.0
574,850.0
575,850.0
576,850.0
577,850.0
578,850.0
579,850.0
580,850.0
581,850.0
582,850.0
583,850.0
584,850.0
585,850.0
586,850.0
587,850.0
588,850.0
589,850.0
590,850.0
591,850.0
592,850.0
593,850.0
594,850.0
595,850.0
596,850.0
597,850.0
598,850.0
599,850.0
600,850.0
601,850.0
602,850.0
603,850.0
604,850.0
605,850.0
606,850.0
607,850.0
608,850.0
609,850.0
610,850.0
611,850.0
612,850.0
613,850.0
614,850.0
615,850.0
616,850.0
617,850.0
618,850.0
619,850.0
620,850.0
621,850.0
622,850.0
623,850.0
624,850.0
625,850.0
626,850.0
627,850.0
628,850.0
629,850.0
630,850.0
631,850.0
632,850.0
633,850.0
634,850.0
635,850.0
636,850.0
637,850.0
638,850.0
639,850.0
640,850.0
641,850.0
642,850.0
643,850.0
644,850.0
645,850.0
646,850.0
647,850.0
648,850.0
649,850.0
650,850.0
651,850.0
652,850.0
653,850.0
654,850.0
655,850.0
656,850.0
657,850.0
658,850.0
659,850.0
660,850.0
661,850.0
662,850.0
663,850.0
664,850.0
665,850.0
666,850.0
667,850.0
668,850.0
669,850.0
670,850.0
671,850.0
672,850.0
673,850.0
674,850.0
675,850.0
676,850.0
677,850.0
678,850.0
679,850.0
680,850.0
681,850.0
682,850.0
683,850.0
684,850.0
685,850.0
686,850.0
687,850.0
688,850.0
689,850.0
690,850.0
691,850.0
692,850.0
693,850.0
694,850.0
695,850.0
696,850.0
697,850.0
698,850.0
699,850.0
700,850.0
701,850.0
702,850.0
703,850.0
704,850.0
705,850.0
706,850.0
707,850.0
708,850.0
709,850.0
710,850.0
711,850.0
712,850.0
713,850.0
714,850.0
715,850.0
716,850.0
717,850.0
718,850.0
719,850.0
720,850.0
721,850.0
722,850.0
723,850.0
724,850.0
725,850.0
726,850.0
727,850.0
728,850.0
729,850.0
730,850.0
731,850.0
732,850.0
733,850.0
734,850.0
735,850.0
736,850.0
737,850.0
738,850.0
739,850.0
740,850.0
741,850.0
742,850.0
743,850.0
744,850.0
745,850.0
746,850.0
747,850.0
748,850.0
749,850.0
750,850.0
751,850.0
752,850.0
753,850.0
754,850.0
755,850.0
756,850.0
757,850.0
758,850.0
759,850.0
760,850.0
761,850.0
762,850.0
763,850.0
764,850.0
765,850.0
766,850.0
767,850.0
768,850.0
769,850.0
770,850.0
771,850.0
772,850.0
773,850.0
774,850.0
775,850.0
776,850.0
777,850.0
778,850.0
779,850.0
780,850.0
781,850.0
782,850.0
783,850.0
784,850.0
785,850.0
786,850.0
787,850.0
788,850.0
789,850.0
790,850.0
791,850.0
792,850.0
793,850.0
794,850.0
795,850.0
796,850.0
797,850.0
798,850.0
799,850.0
800,850.0
801,850.0
802,850.0
803,850.0
804,850.0
805,850.0
806,850.0
807,850.0
808,850.0
809,850.0
810,850.0
811,850.0
812,850.0
813,850.0
814,850.0
815,850.0
816,850.0
817,850.0
818,850.0
819,850.0
820,850.0
821,850.0
822,850.0
823,850.0
824,850.0
825,850.0
826,850.0
827,850.0
828,850.0
829,850.0
830,850.0
831,850.0
832,850.0
833,850.0
834,850.0
835,850.0
836,850.0
837,850.0
838,850.0
839,850.0
840,850.0
841,850.0
842,850.0
843,850.0
844,850.0
845,850.0
846,850.0
847,850.0
848,850.0
849,850.0
850,850.0
851,850.0
852,850.0
853,850.0
854,850.0
855,850.0
856,850.0
857,850.0
858,850.0
859,850.0
860,850.0
861,850.0
862,850.0
863,850.0
864,850.0
865,850.0
866,850.0
867,850.0
868,850.0
869,850.0
870,850.0
871,850.0
872,850.0
873,850.0
874,850.0
875,850.0
876,850.0
877,850.0
878,850.0
879,850.0
880,850.0
881,850.0
882,850.0
883,850.0
884,850.0
885,850.0
886,850.0
887,850.0
888,850.0
889,850.0
890,850.0
891,850.0
892,850.0
893,850.0
894,850.0
895,850.0
896,850.0
897,850.0
898,850.0
899,850.0
900,850.0
901,850.0
902,850.0
903,850.0
904,850.0
905,850.0
906,850.0
907,850.0
908,850.0
909,850.0
910,850.0
911,850.0
912,850.0
913,850.0
914,850.0
915,850.0
916,850.0
917,850.0
918,850.0
919,850.0
920,850.0
921,850.0
922,850.0
923,850.0
924,850.0
925,850.0
926,850.0
927,850.0
928,850.0
929,850.0
930,850.0
931,850.0
932,850.0
933,850.0
934,850.0
935,850.0
936,850.0
937,850.0
938,850.0
939,850.0
940,850.0
941,850.0
942,850.0
943,850.0
944,850.0
945,850.0
946,850.0
947,850.0
948,850.0
949,850.0
950,850.0
951,850.0
