row_index,WROT.PtTurnOnTmp.Bl3
530,4.59
531,4.59
532,4.59
533,4.59
534,4.59
535,4.59
536,4.59
537,4.59
538,4.59
539,4.59
540,4.59
541,4.59
542,4.59
543,4.59
544,4.59
545,4.59
546,4.59
547,4.59
548,4.59
549,4.59
550,4.59
551,4.59
552,4.59
553,4.59
554,4.59
555,4.59
556,4.59
557,4.59
558,4.59
559,4.59
560,4.59
561,4.59
562,4.59
563,4.59
564,4.59
565,4.59
566,4.59
567,4.59
568,4.59
569,4.59
570,4.59
571,4.59
572,4.59
573,4.59
574,4.59
575,4.59
576,4.59
577,4.59
578,4.59
579,4.59
580,4.59
581,4.59
582,4.59
583,4.59
584,4.59
585,4.59
586,4.59
587,4.59
588,4.59
589,4.59
590,4.59
591,4.59
592,4.59
593,4.59
594,4.59
595,4.59
596,4.59
597,4.69
598,4.59
599,4.59
600,4.59
601,4.59
602,4.59
603,4.69
604,4.69
605,4.69
606,4.69
607,4.69
608,4.69
609,4.69
610,4.69
611,4.69
612,4.69
613,4.69
614,4.69
615,4.69
616,4.69
617,4.69
618,4.69
619,4.69
620,4.69
621,4.69
622,4.69
623,4.69
624,4.69
625,4.69
626,4.69
627,4.69
628,4.69
629,4.69
630,4.69
631,4.69
632,4.69
633,4.69
634,4.69
635,4.69
636,4.69
637,4.69
638,4.69
639,4.69
640,4.69
641,4.69
642,4.69
643,4.69
644,4.69
645,4.69
646,4.69
647,4.69
648,4.69
649,4.69
650,4.69
651,4.69
652,4.59
653,4.69
654,4.69
655,4.59
656,4.69
657,4.69
658,4.69
659,4.69
660,4.59
661,4.69
662,4.59
663,4.69
664,4.59
665,4.69
666,4.59
667,4.59
668,4.69
669,4.59
670,4.59
671,4.59
672,4.59
673,4.59
674,4.59
675,4.59
676,4.59
677,4.59
678,4.59
679,4.59
680,4.59
681,4.59
682,4.59
683,4.59
684,4.59
685,4.59
686,4.59
687,4.59
688,4.59
689,4.59
690,4.59
691,4.59
692,4.59
693,4.59
694,4.59
695,4.59
696,4.59
697,4.59
698,4.59
699,4.59
700,4.59
701,4.59
702,4.59
703,4.59
704,4.59
705,4.59
706,4.59
707,4.59
708,4.59
709,4.59
710,4.59
711,4.59
712,4.59
713,4.59
714,4.59
715,4.59
716,4.59
717,4.69
718,4.59
719,4.69
720,4.59
721,4.69
722,4.69
723,4.69
724,4.69
725,4.69
726,4.69
727,4.69
728,4.69
729,4.69
730,4.69
731,4.69
732,4.69
733,4.69
734,4.69
735,4.69
736,4.69
737,4.69
738,4.69
739,4.69
740,4.69
741,4.69
742,4.69
743,4.69
744,4.69
745,4.69
746,4.69
747,4.69
748,4.69
749,4.69
750,4.69
751,4.69
752,4.69
753,4.69
754,4.69
755,4.69
756,4.69
757,4.69
758,4.69
759,4.69
760,4.69
761,4.69
762,4.69
763,4.69
764,4.69
765,4.69
766,4.69
767,4.69
768,4.69
769,4.69
770,4.69
771,4.69
772,4.69
773,4.69
774,4.69
775,4.69
776,4.69
777,4.69
778,4.69
779,4.69
780,4.69
781,4.69
782,4.69
783,4.69
784,4.69
785,4.69
786,4.69
787,4.69
788,4.69
789,4.69
790,4.69
791,4.69
792,4.69
793,4.69
794,4.69
795,4.69
796,4.69
797,4.69
798,4.69
799,4.69
800,4.69
801,4.69
802,4.69
803,4.69
804,4.69
805,4.69
806,4.69
807,4.69
808,4.8
809,4.69
810,4.69
811,4.8
812,4.69
813,4.69
814,4.8
815,4.8
816,4.69
817,4.69
818,4.8
819,4.8
820,4.69
821,4.69
822,4.8
823,4.8
824,4.69
825,4.69
826,4.69
827,4.8
828,4.8
829,4.8
830,4.8
831,4.8
832,4.8
833,4.69
834,4.8
835,4.8
836,4.8
837,4.8
838,4.8
839,4.8
840,4.69
841,4.8
842,4.8
843,4.8
844,4.69
845,4.69
846,4.69
847,4.8
848,4.8
849,4.69
850,4.69
851,4.69
852,4.8
853,4.69
854,4.69
855,4.69
856,4.69
857,4.69
858,4.69
859,4.69
860,4.69
861,4.69
862,4.69
863,4.69
864,4.69
865,4.69
866,4.59
867,4.69
868,4.69
869,4.59
870,4.69
871,4.59
872,4.59
873,4.59
874,4.59
875,4.59
876,4.59
877,4.59
878,4.59
879,4.59
880,4.59
881,4.59
882,4.59
883,4.59
884,4.59
885,4.59
886,4.59
887,4.59
888,4.59
889,4.59
890,4.59
891,4.59
892,4.59
893,4.59
894,4.59
895,4.59
896,4.59
897,4.59
898,4.59
899,4.59
900,4.59
901,4.59
902,4.59
903,4.59
904,4.59
905,4.59
906,4.59
907,4.59
908,4.59
909,4.59
910,4.59
911,4.59
912,4.59
913,4.59
914,4.59
915,4.59
916,4.59
917,4.59
918,4.59
919,4.59
920,4.59
921,4.59
922,4.59
923,4.59
924,4.59
925,4.59
926,4.59
927,4.59
928,4.59
929,4.69
930,4.69
931,4.69
932,4.69
933,4.59
934,4.69
935,4.69
936,4.69
937,4.69
938,4.69
939,4.69
940,4.69
941,4.59
942,4.69
943,4.69
944,4.69
945,4.59
946,4.59
947,4.59
948,4.69
949,4.59
950,4.69
951,4.69
952,4.69
953,4.69
954,4.69
955,4.69
956,4.69
957,4.69
958,4.69
959,4.69
960,4.69
961,4.69
962,4.69
963,4.69
964,4.69
965,4.69
966,4.69
967,4.69
968,4.69
969,4.69
970,4.69
971,4.69
972,4.69
973,4.69
974,4.69
975,4.69
976,4.69
977,4.69
978,4.59
979,4.59
980,4.59
981,4.69
982,4.59
983,4.59
984,4.69
985,4.59
986,4.59
987,4.59
988,4.59
989,4.59
990,4.59
991,4.59
992,4.59
993,4.59
994,4.59
995,4.59
996,4.59
997,4.59
998,4.59
999,4.59
1000,4.59
1001,4.59
1002,4.59
1003,4.59
1004,4.59
1005,4.59
1006,4.59
1007,4.59
1008,4.59
1009,4.59
1010,4.59
1011,4.59
1012,4.59
1013,4.59
1014,4.59
1015,4.59
1016,4.59
1017,4.59
1018,4.59
1019,4.59
1020,4.59
1021,4.59
1022,4.59
1023,4.59
1024,4.59
1025,4.59
1026,4.59
1027,4.59
1028,4.59
1029,4.59
1030,4.59
1031,4.59
1032,4.59
1033,4.59
1034,4.59
1035,4.59
1036,4.59
1037,4.59
1038,4.59
