row_index,WTUR.converterMainBreakerCount
1,976501400.0000001
2,976501400.0000001
3,976501400.0000001
4,976501400.0000001
5,976501400.0000001
6,976501400.0000001
7,976501400.0000001
8,976501400.0000001
9,976501400.0000001
10,976501400.0000001
11,976501400.0000001
12,976501400.0000001
13,976501400.0000001
14,976501400.0000001
15,976501400.0000001
16,976501400.0000001
17,976501400.0000001
18,976501400.0000001
19,976501400.0000001
20,976501400.0000001
21,976501400.0000001
22,976501400.0000001
23,976501400.0000001
24,976501400.0000001
25,976501400.0000001
26,976501400.0000001
27,976501400.0000001
28,976501400.0000001
29,976501400.0000001
30,976501400.0000001
31,976501400.0000001
32,976501400.0000001
33,976501400.0000001
34,976501400.0000001
35,976501400.0000001
36,976501400.0000001
37,976501400.0000001
38,976501400.0000001
39,976501400.0000001
40,976501400.0000001
41,976501400.0000001
42,976501400.0000001
43,976501400.0000001
44,976501400.0000001
45,976501400.0000001
46,976501400.0000001
47,976501400.0000001
48,976501400.0000001
49,976501400.0000001
50,976501400.0000001
51,976501400.0000001
52,976501400.0000001
53,976501400.0000001
54,976501400.0000001
55,976501400.0000001
56,976501400.0000001
57,976501400.0000001
58,976501400.0000001
59,976501400.0000001
60,976501400.0000001
61,976501400.0000001
62,976501400.0000001
63,976501400.0000001
64,976501400.0000001
65,976501400.0000001
66,976501400.0000001
67,976501400.0000001
68,976501400.0000001
69,976501400.0000001
70,976501400.0000001
71,976501400.0000001
72,976501400.0000001
73,976501400.0000001
74,976501400.0000001
75,976501400.0000001
76,976501400.0000001
77,976501400.0000001
78,976501400.0000001
79,976501400.0000001
80,976501400.0000001
81,976501400.0000001
82,976501400.0000001
83,976501400.0000001
84,976501400.0000001
85,976501400.0000001
86,976501400.0000001
87,976501400.0000001
88,976501400.0000001
89,976501400.0000001
90,976501400.0000001
91,976501400.0000001
92,976501400.0000001
93,976501400.0000001
94,976501400.0000001
95,976501400.0000001
96,976501400.0000001
97,976501400.0000001
98,976501400.0000001
99,976501400.0000001
100,976501400.0000001
101,976501400.0000001
102,976501400.0000001
103,976501400.0000001
104,976501400.0000001
105,976501400.0000001
106,976501400.0000001
107,976501400.0000001
108,976501400.0000001
109,976501400.0000001
110,976501400.0000001
111,976501400.0000001
112,976501400.0000001
113,976501400.0000001
114,976501400.0000001
115,976501400.0000001
116,976501400.0000001
117,976501400.0000001
118,976501400.0000001
119,976501400.0000001
120,976501400.0000001
121,976501400.0000001
122,976501400.0000001
123,976501400.0000001
124,976501400.0000001
125,976501400.0000001
126,976501400.0000001
127,976501400.0000001
128,976501400.0000001
129,976501400.0000001
130,976501400.0000001
131,976501400.0000001
132,976501400.0000001
133,976501400.0000001
134,976501400.0000001
135,976501400.0000001
136,976501400.0000001
137,976501400.0000001
138,976501400.0000001
139,976501400.0000001
140,976501400.0000001
141,976501400.0000001
142,976501400.0000001
143,976501400.0000001
144,976501400.0000001
145,976501400.0000001
146,976501400.0000001
147,976501400.0000001
148,976501400.0000001
149,976501400.0000001
150,976501400.0000001
151,976501400.0000001
152,976501400.0000001
153,976501400.0000001
154,976501400.0000001
155,976501400.0000001
156,976501400.0000001
157,976501400.0000001
158,976501400.0000001
159,976501400.0000001
160,976501400.0000001
161,976501400.0000001
162,976501400.0000001
163,976501400.0000001
164,976501400.0000001
165,976501400.0000001
166,976501400.0000001
167,976501400.0000001
168,976501400.0000001
169,976501400.0000001
170,976501400.0000001
171,976501400.0000001
172,976501400.0000001
173,976501400.0000001
174,976501400.0000001
175,976501400.0000001
176,976501400.0000001
177,976501400.0000001
178,976501400.0000001
179,976501400.0000001
180,976501400.0000001
181,976501400.0000001
182,976501400.0000001
183,976501400.0000001
184,976501400.0000001
185,976501400.0000001
186,976501400.0000001
187,976501400.0000001
188,976501400.0000001
189,976501400.0000001
190,976501400.0000001
191,976501400.0000001
192,976501400.0000001
193,976501400.0000001
194,976501400.0000001
195,976501400.0000001
196,976501400.0000001
197,976501400.0000001
198,976501400.0000001
199,976501400.0000001
200,976501400.0000001
201,976501400.0000001
202,976501400.0000001
203,976501400.0000001
204,976501400.0000001
205,976501400.0000001
206,976501400.0000001
207,976501400.0000001
208,976501400.0000001
209,976501400.0000001
210,976501400.0000001
211,976501400.0000001
212,976501400.0000001
213,976501400.0000001
214,976501400.0000001
215,976501400.0000001
216,976501400.0000001
217,976501400.0000001
218,976501400.0000001
219,976501400.0000001
220,976501400.0000001
221,976501400.0000001
222,976501400.0000001
223,976501400.0000001
224,976501400.0000001
225,976501400.0000001
226,976501400.0000001
227,976501400.0000001
228,976501400.0000001
229,976501400.0000001
230,976501400.0000001
231,976501400.0000001
232,976501400.0000001
233,976501400.0000001
234,976501400.0000001
235,976501400.0000001
236,976501400.0000001
237,976501400.0000001
238,976501400.0000001
239,976501400.0000001
240,976501400.0000001
241,976501400.0000001
242,976501400.0000001
243,976501400.0000001
244,976501400.0000001
245,976501400.0000001
246,976501400.0000001
247,976501400.0000001
248,976501400.0000001
249,976501400.0000001
250,976501400.0000001
251,976501400.0000001
252,976501400.0000001
253,976501400.0000001
254,976501400.0000001
255,976501400.0000001
256,976501400.0000001
257,976501400.0000001
258,976501400.0000001
259,976501400.0000001
260,976501400.0000001
261,976501400.0000001
262,976501400.0000001
263,976501400.0000001
264,976501400.0000001
265,976501400.0000001
266,976501400.0000001
267,976501400.0000001
268,976501400.0000001
269,976501400.0000001
270,976501400.0000001
271,976501400.0000001
272,976501400.0000001
273,976501400.0000001
274,976501400.0000001
275,976501400.0000001
276,976501400.0000001
277,976501400.0000001
278,976501400.0000001
279,976501400.0000001
280,976501400.0000001
281,976501400.0000001
282,976501400.0000001
283,976501400.0000001
284,976501400.0000001
285,976501400.0000001
286,976501400.0000001
287,976501400.0000001
288,976501400.0000001
289,976501400.0000001
290,976501400.0000001
291,976501400.0000001
292,976501400.0000001
293,976501400.0000001
294,976501400.0000001
295,976501400.0000001
296,976501400.0000001
297,976501400.0000001
298,976501400.0000001
299,976501400.0000001
300,976501400.0000001
301,976501400.0000001
302,976501400.0000001
303,976501400.0000001
304,976501400.0000001
305,976501400.0000001
306,976501400.0000001
307,976501400.0000001
308,976501400.0000001
