row_index,WYAW.WkHours.Mt3
1,1107.46
2,1107.46
3,1107.46
4,1107.46
5,1107.46
6,1107.46
7,1107.46
8,1107.46
9,1107.46
10,1107.46
11,1107.46
12,1107.46
13,1107.46
14,1107.46
15,1107.46
16,1107.46
17,1107.46
18,1107.46
19,1107.46
20,1107.46
21,1107.46
22,1107.46
23,1107.46
24,1107.46
25,1107.46
26,1107.46
27,1107.46
28,1107.46
29,1107.46
30,1107.46
31,1107.46
32,1107.46
33,1107.46
34,1107.46
35,1107.46
36,1107.46
37,1107.46
38,1107.46
39,1107.46
40,1107.46
41,1107.46
42,1107.46
43,1107.46
44,1107.46
45,1107.46
46,1107.46
47,1107.46
48,1107.46
49,1107.46
50,1107.46
51,1107.46
52,1107.46
53,1107.46
54,1107.46
55,1107.46
56,1107.46
57,1107.46
58,1107.46
59,1107.46
60,1107.46
61,1107.46
62,1107.46
63,1107.46
64,1107.46
65,1107.46
66,1107.46
67,1107.46
68,1107.46
69,1107.46
70,1107.46
71,1107.46
72,1107.46
73,1107.46
74,1107.46
75,1107.46
76,1107.46
77,1107.46
78,1107.46
79,1107.46
80,1107.46
81,1107.46
82,1107.46
83,1107.46
84,1107.46
85,1107.46
86,1107.46
87,1107.46
88,1107.46
89,1107.46
90,1107.46
91,1107.46
92,1107.46
93,1107.46
94,1107.46
95,1107.46
96,1107.46
97,1107.46
98,1107.46
99,1107.46
100,1107.46
101,1107.46
102,1107.46
103,1107.46
104,1107.46
105,1107.46
106,1107.46
107,1107.46
108,1107.46
109,1107.46
110,1107.46
111,1107.46
112,1107.46
113,1107.46
114,1107.46
115,1107.46
116,1107.46
117,1107.46
118,1107.46
119,1107.46
120,1107.46
121,1107.46
122,1107.46
123,1107.46
124,1107.46
125,1107.46
126,1107.46
127,1107.46
128,1107.46
129,1107.46
130,1107.46
131,1107.46
132,1107.46
133,1107.46
134,1107.46
135,1107.46
136,1107.46
137,1107.46
138,1107.46
139,1107.46
140,1107.46
141,1107.46
142,1107.46
143,1107.46
144,1107.46
145,1107.46
146,1107.46
147,1107.46
148,1107.46
149,1107.46
150,1107.46
151,1107.46
152,1107.46
153,1107.46
154,1107.46
155,1107.46
156,1107.46
157,1107.46
158,1107.46
159,1107.46
160,1107.46
161,1107.46
162,1107.46
163,1107.46
164,1107.46
165,1107.46
166,1107.46
167,1107.46
168,1107.46
169,1107.46
170,1107.46
171,1107.46
172,1107.46
173,1107.46
174,1107.46
175,1107.46
176,1107.46
177,1107.46
178,1107.46
179,1107.46
180,1107.46
181,1107.46
182,1107.46
183,1107.46
184,1107.46
185,1107.46
186,1107.46
187,1107.46
188,1107.46
189,1107.46
190,1107.46
191,1107.46
192,1107.46
193,1107.46
194,1107.46
195,1107.46
196,1107.46
197,1107.46
198,1107.46
199,1107.46
200,1107.46
201,1107.46
202,1107.46
203,1107.46
204,1107.46
205,1107.46
206,1107.46
207,1107.46
208,1107.46
209,1107.46
210,1107.46
211,1107.46
212,1107.46
213,1107.46
214,1107.46
215,1107.46
216,1107.46
217,1107.46
218,1107.46
219,1107.46
220,1107.46
221,1107.46
222,1107.46
223,1107.46
224,1107.46
225,1107.46
226,1107.46
227,1107.46
228,1107.46
229,1107.46
230,1107.46
231,1107.46
