row_index,WGEN.TotPwr.InstMag.i
398,22875325.0
399,22875325.0
400,22875326.0
401,22875326.0
402,22875327.0
403,22875327.0
404,22875327.0
405,22875328.0
406,22875328.0
407,22875329.0
408,22875329.0
409,22875330.0
410,22875330.0
411,22875330.0
412,22875331.0
413,22875331.0
414,22875332.0
415,22875332.0
416,22875333.0
417,22875333.0
418,22875334.0
419,22875334.0
420,22875334.0
421,22875334.0
422,22875335.0
423,22875335.0
424,22875336.0
425,22875336.0
426,22875337.0
427,22875337.0
428,22875338.0
429,22875338.0
430,22875339.0
431,22875339.0
432,22875340.0
433,22875340.0
434,22875341.0
435,22875341.0
436,22875342.0
437,22875342.0
438,22875343.0
439,22875343.0
440,22875344.0
441,22875344.0
442,22875344.0
443,22875345.0
444,22875345.0
445,22875346.0
446,22875346.0
447,22875347.0
448,22875347.0
449,22875348.0
450,22875348.0
451,22875349.0
452,22875349.0
453,22875349.0
454,22875350.0
455,22875350.0
456,22875351.0
457,22875351.0
458,22875352.0
459,22875352.0
460,22875353.0
461,22875353.0
462,22875354.0
463,22875354.0
464,22875355.0
465,22875355.0
466,22875355.0
467,22875356.0
468,22875357.0
469,22875357.0
470,22875358.0
471,22875358.0
472,22875359.0
473,22875359.0
474,22875360.0
475,22875360.0
476,22875361.0
477,22875362.0
478,22875362.0
479,22875363.0
480,22875363.0
481,22875364.0
482,22875364.0
483,22875365.0
484,22875365.0
485,22875366.0
486,22875366.0
487,22875367.0
488,22875367.0
489,22875368.0
490,22875368.0
491,22875369.0
492,22875369.0
493,22875370.0
494,22875370.0
495,22875371.0
496,22875371.0
497,22875372.0
498,22875372.0
499,22875373.0
500,22875373.0
501,22875374.0
502,22875374.0
503,22875375.0
504,22875375.0
505,22875375.0
506,22875376.0
507,22875376.0
508,22875377.0
509,22875377.0
510,22875378.0
511,22875378.0
512,22875379.0
513,22875379.0
514,22875380.0
515,22875380.0
516,22875381.0
517,22875381.0
518,22875382.0
519,22875383.0
520,22875383.0
521,22875384.0
522,22875384.0
523,22875385.0
524,22875385.0
525,22875386.0
526,22875387.0
527,22875387.0
528,22875388.0
529,22875388.0
530,22875389.0
531,22875389.0
532,22875390.0
533,22875390.0
534,22875391.0
535,22875391.0
536,22875392.0
537,22875393.0
538,22875393.0
539,22875394.0
540,22875394.0
541,22875395.0
542,22875395.0
543,22875396.0
544,22875396.0
545,22875397.0
546,22875397.0
547,22875398.0
548,22875399.0
549,22875399.0
550,22875400.0
551,22875400.0
552,22875401.0
553,22875402.0
554,22875402.0
555,22875403.0
556,22875404.0
557,22875404.0
558,22875405.0
559,22875406.0
560,22875407.0
561,22875407.0
562,22875408.0
563,22875409.0
564,22875409.0
565,22875410.0
566,22875411.0
567,22875412.0
568,22875413.0
569,22875413.0
570,22875414.0
571,22875415.0
572,22875416.0
573,22875416.0
574,22875417.0
575,22875418.0
576,22875419.0
577,22875419.0
578,22875420.0
579,22875421.0
580,22875422.0
581,22875422.0
582,22875423.0
583,22875424.0
584,22875425.0
585,22875426.0
586,22875426.0
587,22875427.0
588,22875428.0
589,22875428.0
590,22875429.0
591,22875430.0
592,22875430.0
593,22875431.0
594,22875432.0
595,22875433.0
596,22875434.0
597,22875434.0
598,22875435.0
599,22875436.0
600,22875437.0
601,22875438.0
602,22875438.0
603,22875439.0
604,22875440.0
605,22875441.0
606,22875442.0
607,22875442.0
608,22875443.0
609,22875444.0
610,22875445.0
611,22875446.0
612,22875446.0
613,22875447.0
614,22875448.0
615,22875449.0
616,22875450.0
617,22875450.0
618,22875451.0
619,22875452.0
620,22875453.0
621,22875454.0
622,22875454.0
623,22875455.0
624,22875456.0
625,22875457.0
626,22875458.0
627,22875458.0
628,22875459.0
629,22875460.0
630,22875461.0
631,22875461.0
632,22875462.0
633,22875463.0
634,22875464.0
635,22875464.0
636,22875465.0
637,22875466.0
638,22875467.0
639,22875467.0
640,22875468.0
641,22875469.0
642,22875469.0
643,22875470.0
644,22875471.0
645,22875472.0
646,22875472.0
647,22875473.0
648,22875474.0
649,22875475.0
650,22875475.0
651,22875476.0
652,22875477.0
653,22875477.0
654,22875478.0
655,22875479.0
656,22875479.0
657,22875480.0
658,22875481.0
659,22875481.0
660,22875482.0
661,22875482.0
662,22875483.0
663,22875484.0
664,22875484.0
665,22875485.0
666,22875486.0
667,22875486.0
668,22875487.0
669,22875488.0
670,22875488.0
671,22875489.0
672,22875490.0
673,22875490.0
674,22875491.0
675,22875491.0
676,22875492.0
677,22875493.0
678,22875493.0
679,22875494.0
680,22875495.0
681,22875495.0
682,22875496.0
683,22875497.0
684,22875497.0
685,22875498.0
686,22875498.0
687,22875499.0
688,22875500.0
689,22875501.0
690,22875501.0
691,22875502.0
692,22875503.0
693,22875504.0
694,22875505.0
695,22875505.0
696,22875506.0
697,22875507.0
698,22875508.0
699,22875509.0
700,22875510.0
701,22875510.0
702,22875511.0
703,22875512.0
704,22875513.0
705,22875514.0
706,22875515.0
707,22875515.0
708,22875516.0
709,22875517.0
710,22875518.0
711,22875519.0
712,22875520.0
713,22875520.0
714,22875521.0
715,22875522.0
716,22875523.0
717,22875524.0
718,22875525.0
719,22875525.0
720,22875526.0
721,22875527.0
722,22875528.0
723,22875529.0
724,22875530.0
725,22875530.0
726,22875531.0
727,22875532.0
728,22875533.0
729,22875534.0
730,22875535.0
731,22875535.0
732,22875536.0
733,22875537.0
734,22875538.0
735,22875539.0
736,22875540.0
737,22875540.0
738,22875541.0
739,22875542.0
740,22875543.0
741,22875544.0
742,22875545.0
743,22875545.0
744,22875546.0
745,22875547.0
746,22875548.0
747,22875548.0
748,22875549.0
749,22875550.0
750,22875551.0
751,22875552.0
752,22875552.0
753,22875553.0
754,22875554.0
755,22875555.0
756,22875555.0
757,22875555.0
758,22875556.0
759,22875557.0
760,22875558.0
761,22875558.0
762,22875559.0
763,22875560.0
764,22875561.0
765,22875561.0
766,22875562.0
767,22875563.0
768,22875564.0
769,22875564.0
770,22875565.0
771,22875566.0
772,22875567.0
773,22875567.0
774,22875568.0
775,22875569.0
776,22875570.0
777,22875570.0
778,22875571.0
779,22875572.0
780,22875573.0
781,22875573.0
782,22875574.0
783,22875575.0
784,22875576.0
785,22875577.0
786,22875577.0
787,22875578.0
788,22875579.0
789,22875580.0
790,22875581.0
791,22875581.0
792,22875582.0
793,22875583.0
794,22875584.0
795,22875585.0
796,22875586.0
797,22875587.0
798,22875588.0
799,22875588.0
800,22875589.0
801,22875590.0
802,22875591.0
803,22875592.0
804,22875593.0
805,22875593.0
806,22875594.0
807,22875595.0
808,22875596.0
809,22875597.0
810,22875598.0
811,22875598.0
812,22875599.0
813,22875600.0
814,22875601.0
815,22875602.0
816,22875603.0
817,22875603.0
818,22875604.0
819,22875605.0
820,22875606.0
821,22875607.0
822,22875608.0
823,22875608.0
824,22875609.0
825,22875610.0
826,22875611.0
827,22875612.0
828,22875612.0
829,22875613.0
830,22875614.0
831,22875615.0
832,22875616.0
833,22875616.0
834,22875617.0
835,22875618.0
836,22875619.0
837,22875620.0
838,22875620.0
839,22875621.0
840,22875621.0
841,22875622.0
842,22875622.0
843,22875623.0
844,22875624.0
845,22875625.0
846,22875625.0
847,22875626.0
848,22875627.0
849,22875627.0
850,22875628.0
851,22875629.0
852,22875629.0
853,22875630.0
854,22875631.0
855,22875631.0
856,22875632.0
857,22875633.0
858,22875633.0
859,22875634.0
860,22875635.0
861,22875635.0
862,22875636.0
863,22875637.0
864,22875637.0
865,22875638.0
866,22875639.0
867,22875639.0
868,22875640.0
869,22875641.0
870,22875641.0
871,22875642.0
872,22875643.0
873,22875643.0
874,22875644.0
875,22875645.0
876,22875645.0
877,22875646.0
878,22875647.0
879,22875647.0
880,22875648.0
881,22875649.0
882,22875649.0
883,22875650.0
884,22875651.0
885,22875652.0
886,22875652.0
887,22875653.0
888,22875654.0
889,22875654.0
890,22875655.0
891,22875656.0
892,22875656.0
893,22875657.0
894,22875658.0
895,22875658.0
896,22875659.0
897,22875660.0
898,22875661.0
899,22875661.0
900,22875662.0
901,22875663.0
902,22875663.0
903,22875664.0
904,22875665.0
905,22875666.0
906,22875666.0
907,22875667.0
908,22875668.0
909,22875669.0
910,22875670.0
911,22875670.0
912,22875671.0
913,22875672.0
914,22875673.0
915,22875673.0
916,22875674.0
917,22875675.0
918,22875676.0
919,22875676.0
920,22875677.0
921,22875678.0
922,22875679.0
923,22875680.0
924,22875680.0
925,22875681.0
926,22875682.0
927,22875683.0
928,22875683.0
929,22875684.0
930,22875685.0
931,22875686.0
932,22875686.0
933,22875687.0
934,22875688.0
935,22875689.0
936,22875689.0
937,22875690.0
938,22875691.0
939,22875692.0
940,22875692.0
941,22875693.0
942,22875694.0
943,22875694.0
944,22875695.0
945,22875696.0
946,22875697.0
947,22875698.0
948,22875698.0
949,22875699.0
950,22875700.0
951,22875701.0
952,22875701.0
953,22875702.0
954,22875703.0
955,22875704.0
956,22875704.0
957,22875705.0
958,22875706.0
959,22875707.0
960,22875707.0
961,22875708.0
962,22875709.0
963,22875709.0
964,22875710.0
965,22875711.0
966,22875712.0
967,22875712.0
968,22875713.0
969,22875714.0
970,22875714.0
971,22875715.0
972,22875716.0
973,22875716.0
974,22875717.0
975,22875718.0
976,22875718.0
977,22875719.0
978,22875720.0
979,22875720.0
980,22875721.0
981,22875722.0
982,22875722.0
983,22875723.0
984,22875724.0
985,22875724.0
986,22875725.0
987,22875726.0
988,22875726.0
989,22875727.0
990,22875728.0
991,22875728.0
992,22875729.0
993,22875729.0
994,22875730.0
995,22875731.0
996,22875731.0
997,22875732.0
998,22875732.0
999,22875733.0
1000,22875734.0
1001,22875734.0
1002,22875735.0
1003,22875735.0
1004,22875736.0
1005,22875737.0
1006,22875738.0
1007,22875738.0
1008,22875739.0
1009,22875739.0
