row_index,WTUR.CTim.Wt.F32.WindLow
1,5154.53
2,5154.53
3,5154.53
4,5154.53
5,5154.53
6,5154.53
7,5154.53
8,5154.53
9,5154.53
10,5154.53
11,5154.53
12,5154.53
13,5154.53
14,5154.53
15,5154.53
16,5154.53
17,5154.53
18,5154.53
19,5154.53
20,5154.53
21,5154.53
22,5154.53
23,5154.53
24,5154.53
25,5154.53
26,5154.53
27,5154.53
28,5154.53
29,5154.53
30,5154.53
31,5154.53
32,5154.53
33,5154.53
34,5154.53
35,5154.53
36,5154.53
37,5154.53
38,5154.53
39,5154.53
40,5154.53
41,5154.53
42,5154.53
43,5154.53
44,5154.53
45,5154.53
46,5154.53
47,5154.53
48,5154.53
49,5154.53
50,5154.53
51,5154.53
52,5154.53
53,5154.53
54,5154.53
55,5154.53
56,5154.53
57,5154.53
58,5154.53
59,5154.53
60,5154.53
61,5154.53
62,5154.53
63,5154.53
64,5154.53
65,5154.53
66,5154.53
67,5154.53
68,5154.53
69,5154.53
70,5154.53
71,5154.53
72,5154.53
73,5154.53
74,5154.53
75,5154.53
76,5154.53
77,5154.53
78,5154.53
79,5154.53
80,5154.53
81,5154.53
82,5154.53
83,5154.53
84,5154.53
85,5154.53
86,5154.53
87,5154.53
88,5154.53
89,5154.53
90,5154.53
91,5154.53
92,5154.53
93,5154.53
94,5154.53
95,5154.53
96,5154.53
97,5154.53
98,5154.53
99,5154.53
100,5154.53
101,5154.53
102,5154.53
103,5154.53
104,5154.53
105,5154.53
106,5154.53
107,5154.53
108,5154.53
109,5154.53
110,5154.53
111,5154.53
112,5154.53
113,5154.53
114,5154.53
115,5154.53
116,5154.53
117,5154.53
118,5154.53
119,5154.53
120,5154.53
121,5154.53
122,5154.53
123,5154.53
124,5154.53
125,5154.53
126,5154.53
127,5154.53
128,5154.53
129,5154.53
130,5154.53
131,5154.53
132,5154.53
133,5154.53
134,5154.53
135,5154.53
136,5154.53
137,5154.53
138,5154.53
139,5154.53
140,5154.53
141,5154.53
142,5154.53
143,5154.53
144,5154.53
145,5154.53
146,5154.53
147,5154.53
148,5154.53
149,5154.53
150,5154.53
151,5154.53
152,5154.53
153,5154.53
154,5154.53
155,5154.53
156,5154.53
157,5154.53
158,5154.53
159,5154.53
160,5154.53
161,5154.53
162,5154.53
163,5154.53
164,5154.53
165,5154.53
166,5154.53
167,5154.53
168,5154.53
169,5154.53
170,5154.53
171,5154.53
172,5154.53
173,5154.53
174,5154.53
175,5154.53
176,5154.53
177,5154.53
178,5154.53
179,5154.53
180,5154.53
181,5154.53
182,5154.53
183,5154.53
184,5154.53
185,5154.53
186,5154.53
187,5154.53
188,5154.53
189,5154.53
190,5154.53
191,5154.53
192,5154.53
193,5154.53
194,5154.53
195,5154.53
196,5154.53
197,5154.53
198,5154.53
199,5154.53
200,5154.53
201,5154.53
202,5154.53
203,5154.53
204,5154.53
205,5154.53
206,5154.53
207,5154.53
208,5154.53
209,5154.53
210,5154.53
211,5154.53
212,5154.53
213,5154.53
214,5154.53
215,5154.53
216,5154.53
217,5154.53
218,5154.53
219,5154.53
220,5154.53
221,5154.53
222,5154.53
223,5154.53
224,5154.53
225,5154.53
226,5154.53
227,5154.53
228,5154.53
229,5154.53
230,5154.53
231,5154.53
232,5154.53
233,5154.53
234,5154.53
235,5154.53
236,5154.53
237,5154.53
238,5154.53
239,5154.53
240,5154.53
241,5154.53
242,5154.53
243,5154.53
244,5154.53
245,5154.53
246,5154.53
247,5154.53
248,5154.53
249,5154.53
250,5154.53
251,5154.53
252,5154.53
253,5154.53
254,5154.53
255,5154.53
256,5154.53
257,5154.53
258,5154.53
259,5154.53
260,5154.53
261,5154.53
262,5154.53
263,5154.53
264,5154.53
265,5154.53
266,5154.53
267,5154.53
268,5154.53
269,5154.53
270,5154.53
271,5154.53
272,5154.53
273,5154.53
274,5154.53
275,5154.53
276,5154.53
277,5154.53
278,5154.53
279,5154.53
280,5154.53
281,5154.53
282,5154.53
283,5154.53
284,5154.53
285,5154.53
286,5154.53
287,5154.53
288,5154.53
289,5154.53
290,5154.53
291,5154.53
292,5154.53
293,5154.53
