row_index,WROT.PtMotorTmp.Bl1
1,0.3
2,0.3
3,0.3
4,0.2
5,0.2
6,0.2
7,0.2
8,0.2
9,0.1
10,0.1
11,0.1
12,0.1
13,0.1
14,0.1
15,0.1
16,0.1
17,0.1
18,0.1
19,0.1
20,0.1
21,0.1
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,-0.1
47,-0.1
48,-0.1
49,-0.1
50,-0.1
51,-0.1
52,-0.1
53,-0.1
54,-0.1
55,-0.1
56,-0.1
57,-0.1
58,-0.1
59,-0.1
60,-0.1
61,-0.1
62,-0.1
63,-0.1
64,-0.1
65,-0.1
66,-0.2
67,-0.1
68,-0.2
69,-0.2
70,-0.2
71,-0.2
72,-0.2
73,-0.2
74,-0.2
75,-0.2
76,-0.2
77,-0.2
78,-0.2
79,-0.2
80,-0.2
81,-0.2
82,-0.2
83,-0.2
84,-0.2
85,-0.2
86,-0.2
87,-0.2
88,-0.2
89,-0.2
90,-0.2
91,-0.2
92,-0.2
93,-0.2
94,-0.2
95,-0.2
96,-0.2
97,-0.2
98,-0.2
99,-0.2
100,-0.2
101,-0.2
102,-0.2
103,-0.2
104,-0.2
105,-0.2
106,-0.2
107,-0.2
108,-0.2
109,-0.2
110,-0.3
111,-0.2
112,-0.3
113,-0.3
114,-0.3
115,-0.3
116,-0.3
117,-0.3
118,-0.3
119,-0.2
120,0.0
121,0.1
122,0.2
123,0.3
124,0.2
125,0.2
126,0.2
127,0.3
128,0.5
129,0.8
130,0.89
131,1.0
132,1.0
133,1.0
134,1.0
135,0.89
136,0.89
137,1.0
138,1.1
139,1.1
140,1.1
141,1.1
142,1.0
143,1.0
144,1.0
145,1.1
146,1.1
147,1.1
148,1.1
149,1.1
150,1.0
151,1.0
152,0.89
153,0.8
154,0.8
155,0.8
156,0.69
157,0.6
158,0.6
159,0.6
160,0.5
161,0.5
162,0.5
163,0.5
164,0.4
165,0.4
166,0.3
167,0.3
168,0.3
169,0.3
170,0.3
171,0.3
172,0.2
173,0.2
174,0.2
175,0.2
176,0.2
177,0.1
178,0.1
179,0.1
180,0.1
181,0.1
182,0.1
183,0.1
184,0.1
185,0.1
186,0.0
187,0.2
188,0.5
189,0.5
190,0.6
191,0.6
192,0.6
193,0.6
194,0.6
195,0.6
196,0.69
197,0.8
198,0.8
199,0.8
200,0.8
201,0.8
202,0.8
203,0.8
204,0.69
205,0.6
206,0.6
207,0.6
208,0.5
209,0.5
210,0.5
211,0.5
212,0.4
213,0.4
214,0.3
215,0.3
216,0.3
217,0.3
218,0.3
219,0.3
220,0.3
221,0.5
222,0.5
223,0.5
224,0.5
225,0.5
226,0.5
227,0.5
228,0.5
229,0.5
230,0.4
231,0.4
232,0.3
233,0.3
234,0.3
235,0.3
236,-0.1
237,0.4
238,0.5
239,0.5
240,0.6
241,0.6
242,0.5
243,0.5
244,0.5
245,0.5
246,0.5
247,0.5
248,0.4
249,0.4
250,0.3
251,0.3
252,0.3
253,0.3
254,0.3
255,0.3
256,0.2
257,0.2
258,0.2
259,0.2
260,0.2
261,0.1
262,0.1
263,0.1
264,0.1
265,0.1
266,0.1
267,0.1
268,0.1
269,0.1
270,0.1
271,0.1
272,0.3
273,0.3
274,0.3
275,0.3
276,0.3
277,0.3
278,0.3
279,0.4
280,0.5
281,0.5
282,0.6
283,0.6
284,0.6
285,0.5
286,0.5
287,0.5
288,0.5
289,0.5
290,0.5
291,0.4
292,0.4
293,0.3
294,0.3
295,0.3
296,0.3
297,0.3
298,0.3
299,0.3
300,0.2
301,0.2
302,0.2
303,0.2
304,0.1
305,0.1
306,0.1
307,0.1
308,0.1
309,0.1
310,0.1
311,0.1
312,0.1
313,0.1
314,0.1
315,0.1
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,-0.1
334,-0.1
335,-0.1
336,-0.1
337,-0.1
338,0.0
339,0.3
340,0.4
341,0.5
342,0.5
343,0.5
344,0.5
345,0.5
346,0.4
347,0.4
348,0.3
349,0.3
350,0.3
351,0.3
352,0.3
353,0.2
354,0.2
355,0.3
356,0.5
357,0.6
358,0.6
359,0.6
360,0.5
361,0.5
362,0.5
363,0.6
364,0.8
365,1.0
366,1.0
367,1.0
368,1.0
369,0.89
370,0.8
371,0.8
372,1.0
373,1.1
374,1.1
375,1.1
376,1.1
377,1.0
378,1.0
379,1.0
380,1.1
381,1.2
382,1.2
383,1.2
384,1.2
385,1.1
386,1.1
387,1.1
388,1.1
389,1.2
390,1.29
391,1.29
392,1.29
393,1.2
394,1.2
395,1.1
396,1.1
397,1.29
398,1.5
399,1.5
400,1.5
401,1.5
402,1.5
403,1.39
404,1.29
405,1.2
406,1.2
407,1.1
408,1.1
409,1.0
410,1.0
411,0.89
412,0.8
413,0.8
414,0.8
415,0.8
416,0.69
417,0.6
418,0.6
419,0.6
420,0.6
421,0.6
422,0.6
423,0.5
424,0.5
425,0.5
426,0.5
427,0.5
428,0.4
429,0.4
430,0.4
431,0.3
432,0.3
433,0.3
434,0.3
435,0.3
436,0.3
437,0.3
438,0.3
439,0.5
440,0.6
441,0.8
442,0.8
443,0.8
444,0.8
445,0.8
446,0.8
447,0.8
448,1.1
449,1.1
450,1.2
451,1.2
452,1.2
453,1.1
454,1.1
455,1.1
456,1.0
457,1.0
458,0.89
459,0.8
460,0.8
461,0.8
462,0.69
463,0.69
464,0.6
465,0.6
466,0.6
467,0.5
468,0.5
469,0.5
470,0.5
471,0.5
472,0.5
473,0.5
474,0.4
475,0.4
476,0.3
477,0.3
478,0.3
479,0.3
480,0.3
481,0.3
482,0.3
483,0.3
484,0.3
485,0.2
486,0.2
487,0.2
488,0.3
489,0.3
490,0.5
491,0.6
492,0.6
493,0.6
494,0.6
495,0.6
496,0.6
497,0.6
498,0.5
499,0.5
500,0.5
501,0.5
502,0.5
503,0.5
504,0.5
505,0.5
506,0.5
507,0.6
508,0.8
509,0.89
510,0.89
511,0.8
512,0.8
513,0.8
514,0.8
515,0.8
516,0.69
517,0.69
518,0.6
519,0.6
520,0.6
521,0.6
522,0.5
523,0.5
524,0.5
525,0.5
526,0.5
527,0.5
528,0.4
529,0.4
530,0.4
531,0.4
532,0.5
533,0.5
534,0.5
535,0.5
536,0.5
537,0.5
538,0.5
539,0.5
540,0.69
541,0.89
542,1.0
543,1.0
544,1.0
545,1.0
546,1.0
547,0.89
548,0.8
549,0.8
550,0.8
551,0.8
552,0.69
553,0.6
554,0.6
555,0.6
556,0.6
557,0.6
558,0.5
559,0.5
560,0.5
561,0.5
562,0.5
563,0.4
564,0.4
565,0.4
566,0.3
567,0.3
568,0.3
569,0.3
570,0.3
571,0.3
572,0.3
573,0.3
574,0.2
575,0.2
576,0.2
577,0.2
578,0.2
579,0.2
580,0.2
581,0.2
582,0.3
583,0.5
584,0.5
585,0.5
586,0.5
587,0.5
588,0.5
589,0.5
590,0.5
591,0.5
592,0.5
593,0.5
594,0.5
595,0.4
596,0.4
597,0.3
598,0.3
599,0.3
600,0.3
601,0.3
602,0.3
603,0.3
604,0.3
605,0.2
606,0.2
607,0.2
608,0.2
609,0.2
610,0.2
611,0.1
612,0.1
613,0.1
614,0.1
615,0.1
616,0.1
617,0.1
618,0.1
619,0.1
620,0.1
621,0.1
622,0.1
623,0.1
624,0.1
625,0.1
626,0.1
627,0.1
628,0.0
629,0.0
630,0.0
631,0.0
632,0.1
633,0.2
634,0.2
635,0.3
636,0.3
637,0.3
638,0.3
639,0.2
640,0.2
641,0.2
642,0.2
643,0.2
644,0.2
645,0.2
646,0.2
647,0.1
648,0.1
