row_index,WTUR.environment_notok
1,5359.53
2,5359.53
3,5359.53
4,5359.53
5,5359.53
6,5359.53
7,5359.53
8,5359.53
9,5359.53
10,5359.53
11,5359.53
12,5359.53
13,5359.53
14,5359.53
15,5359.53
16,5359.53
17,5359.53
18,5359.53
19,5359.53
20,5359.53
21,5359.53
22,5359.53
23,5359.53
24,5359.53
25,5359.53
26,5359.53
27,5359.53
28,5359.53
29,5359.53
30,5359.53
31,5359.53
32,5359.53
33,5359.53
34,5359.53
35,5359.53
36,5359.53
37,5359.53
38,5359.53
39,5359.53
40,5359.53
41,5359.53
42,5359.53
43,5359.53
44,5359.53
45,5359.53
46,5359.53
47,5359.53
48,5359.53
49,5359.53
50,5359.53
51,5359.53
52,5359.53
53,5359.53
54,5359.53
55,5359.53
56,5359.53
57,5359.53
58,5359.53
59,5359.53
60,5359.53
61,5359.53
62,5359.53
63,5359.53
64,5359.53
65,5359.53
66,5359.53
67,5359.53
68,5359.53
69,5359.53
70,5359.53
71,5359.53
72,5359.53
73,5359.53
74,5359.53
75,5359.53
76,5359.53
77,5359.53
78,5359.53
79,5359.53
80,5359.53
81,5359.53
82,5359.53
83,5359.53
84,5359.53
85,5359.53
86,5359.53
87,5359.53
88,5359.53
89,5359.53
90,5359.53
91,5359.53
92,5359.53
93,5359.53
94,5359.53
95,5359.53
96,5359.53
97,5359.53
98,5359.53
99,5359.53
100,5359.53
101,5359.53
102,5359.53
103,5359.53
104,5359.53
105,5359.53
106,5359.53
107,5359.53
108,5359.53
109,5359.53
110,5359.53
111,5359.53
112,5359.53
113,5359.53
114,5359.53
115,5359.53
116,5359.53
117,5359.53
118,5359.53
119,5359.53
120,5359.53
121,5359.53
122,5359.53
123,5359.53
124,5359.53
125,5359.53
126,5359.53
127,5359.53
128,5359.53
129,5359.53
130,5359.53
131,5359.53
132,5359.53
133,5359.53
134,5359.53
135,5359.53
136,5359.53
137,5359.53
138,5359.53
139,5359.53
140,5359.53
141,5359.53
142,5359.53
143,5359.53
144,5359.53
145,5359.53
146,5359.53
147,5359.53
148,5359.53
149,5359.53
150,5359.53
151,5359.53
152,5359.53
153,5359.53
154,5359.53
155,5359.53
156,5359.53
157,5359.53
158,5359.53
159,5359.53
160,5359.53
161,5359.53
162,5359.53
163,5359.53
164,5359.53
165,5359.53
166,5359.53
167,5359.53
168,5359.53
169,5359.53
170,5359.53
171,5359.53
172,5359.53
173,5359.53
174,5359.53
175,5359.53
176,5359.53
177,5359.53
178,5359.53
179,5359.53
180,5359.53
181,5359.53
182,5359.53
183,5359.53
184,5359.53
185,5359.53
186,5359.53
187,5359.53
188,5359.53
189,5359.53
190,5359.53
191,5359.53
192,5359.53
193,5359.53
194,5359.53
195,5359.53
196,5359.53
197,5359.53
198,5359.53
199,5359.53
200,5359.53
201,5359.53
202,5359.53
203,5359.53
204,5359.53
205,5359.53
206,5359.53
207,5359.53
208,5359.53
209,5359.53
210,5359.53
211,5359.53
212,5359.53
213,5359.53
214,5359.53
215,5359.53
216,5359.53
217,5359.53
218,5359.53
219,5359.53
220,5359.53
221,5359.53
222,5359.53
223,5359.53
224,5359.53
225,5359.53
226,5359.53
227,5359.53
228,5359.53
229,5359.53
230,5359.53
231,5359.53
232,5359.53
233,5359.53
234,5359.53
235,5359.53
236,5359.53
237,5359.53
238,5359.53
239,5359.53
240,5359.53
241,5359.53
242,5359.53
243,5359.53
244,5359.53
245,5359.53
246,5359.53
247,5359.53
248,5359.53
249,5359.53
250,5359.53
251,5359.53
252,5359.53
253,5359.53
254,5359.53
255,5359.53
256,5359.53
257,5359.53
258,5359.53
259,5359.53
260,5359.53
261,5359.53
262,5359.53
263,5359.53
264,5359.53
265,5359.53
266,5359.53
267,5359.53
268,5359.53
269,5359.53
270,5359.53
271,5359.53
272,5359.53
273,5359.53
274,5359.53
275,5359.53
276,5359.53
277,5359.53
278,5359.53
279,5359.53
280,5359.53
281,5359.53
282,5359.53
283,5359.53
284,5359.53
285,5359.53
286,5359.53
287,5359.53
288,5359.53
289,5359.53
290,5359.53
291,5359.53
292,5359.53
293,5359.53
294,5359.53
295,5359.53
296,5359.53
297,5359.53
298,5359.53
299,5359.53
300,5359.53
301,5359.53
302,5359.53
303,5359.53
304,5359.53
305,5359.53
306,5359.53
307,5359.53
308,5359.53
309,5359.53
310,5359.53
311,5359.53
312,5359.53
313,5359.53
314,5359.53
315,5359.53
316,5359.53
317,5359.53
318,5359.53
319,5359.53
320,5359.53
321,5359.53
322,5359.53
323,5359.53
324,5359.53
325,5359.53
326,5359.53
327,5359.53
328,5359.53
329,5359.53
330,5359.53
331,5359.53
332,5359.53
