row_index,WROT.PtPwSupDCLow.Bl1
1,0.66
2,0.55
3,0.57
4,0.76
5,0.16
6,0.15
7,0.29
8,-0.09
9,-0.03
10,0.67
11,0.56
12,0.0
13,0.08
14,0.26
15,0.52
16,0.53
17,0.09
18,0.55
19,0.26
20,0.53
21,-0.02
22,0.59
23,0.61
24,0.56
25,0.39
26,0.4
27,0.52
28,0.53
29,0.64
30,0.48
31,-0.02
32,0.69
33,0.57
34,0.0
35,0.53
36,0.67
37,0.22
38,-0.1
39,0.01
40,0.47
41,0.5
42,0.53
43,0.49
44,0.54
45,0.08
46,-0.03
47,0.29
48,0.58
49,0.62
50,0.65
51,0.29
52,0.02
53,0.01
54,0.59
55,0.03
56,0.51
57,0.56
58,0.23
59,0.58
60,0.02
61,0.49
62,-0.01
63,0.49
64,0.17
65,0.52
66,0.27
67,0.64
68,0.79
69,0.51
70,0.67
71,0.54
72,0.53
73,-0.05
74,0.0
75,0.52
76,0.53
77,0.55
78,0.63
79,0.57
80,0.64
81,0.55
82,0.73
83,0.67
84,0.27
85,0.0
86,0.67
87,0.55
88,0.71
89,0.0
90,-0.01
91,0.0
92,0.02
93,0.59
94,0.03
95,-0.05
96,0.71
97,0.67
98,0.68
99,0.2
100,0.19
101,0.57
102,0.56
103,0.0
104,0.63
105,-0.1
106,0.16
107,-0.01
108,0.62
109,0.59
110,0.18
111,0.22
112,-0.02
113,0.55
114,-0.08
115,0.47
116,0.47
117,0.22
118,0.05
119,0.53
120,0.53
121,-0.13
122,0.6
123,0.53
124,0.16
125,0.53
126,-0.03
127,0.14
128,0.14
129,0.64
130,-0.17
131,-0.01
132,0.21
133,0.56
134,0.25
135,0.27
136,0.84
137,0.86
138,0.87
139,0.88
140,0.82
141,0.28
142,-0.05
143,-0.01
144,0.55
145,0.8
146,0.67
147,0.6
148,0.53
149,-0.16
150,-0.01
151,0.52
152,0.69
153,0.21
154,0.54
155,-0.07
156,0.59
157,-0.02
158,0.74
159,0.52
160,0.68
161,0.49
162,0.06
163,-0.07
164,0.06
165,-0.05
166,0.0
167,0.03
168,0.57
169,0.53
170,0.53
171,-0.01
172,-0.17
173,0.57
174,0.63
175,-0.04
176,0.69
177,0.55
178,0.24
179,0.52
180,0.53
181,0.02
182,0.0
183,0.0
184,-0.11
185,-0.05
186,0.05
187,-0.01
188,0.04
189,0.38
190,0.53
191,0.57
192,0.08
193,0.03
194,0.37
195,0.68
196,-0.11
197,-0.15
198,0.5
199,0.55
200,0.55
201,0.44
202,0.49
203,-0.06
204,-0.01
205,0.5
206,-0.11
207,0.65
208,0.02
209,-0.02
210,-0.07
