row_index,WCNV.Conver_setup_igbt3
1,27.47
2,27.47
3,27.37
4,27.47
5,27.37
6,27.47
7,27.37
8,27.37
9,27.37
10,27.47
11,27.37
12,27.47
13,27.47
14,27.37
15,27.47
16,27.47
17,27.37
18,27.47
19,27.37
20,27.47
21,27.47
22,27.37
23,27.37
24,27.47
25,27.47
26,27.37
27,27.47
28,27.37
29,27.47
30,27.37
31,27.37
32,27.37
33,27.47
34,27.37
35,27.37
36,27.37
37,27.37
38,27.47
39,27.47
40,27.37
41,27.37
42,27.37
43,27.47
44,27.47
45,27.37
46,27.37
47,27.47
48,27.37
49,27.47
50,27.37
51,27.37
52,27.47
53,27.47
54,27.47
55,27.47
56,27.37
57,27.47
58,27.47
59,27.47
60,27.47
61,27.37
62,27.37
63,27.37
64,27.47
65,27.47
66,27.47
67,27.37
68,27.47
69,27.47
70,27.47
71,27.47
72,27.37
73,27.37
74,27.37
75,27.37
76,27.47
77,27.47
78,27.47
79,27.47
80,27.47
81,27.47
82,27.47
83,27.47
84,27.47
85,27.47
86,27.37
87,27.47
88,27.37
89,27.47
90,27.47
91,27.47
92,27.47
93,27.37
94,27.47
95,27.37
96,27.47
97,27.47
98,27.47
99,27.37
100,27.47
101,27.47
102,27.47
103,27.47
104,27.47
105,27.47
106,27.47
107,27.47
108,27.37
109,27.47
110,27.47
111,27.37
112,27.47
113,27.47
114,27.47
115,27.47
116,27.51
117,27.47
118,27.37
119,27.47
120,27.37
121,27.47
122,27.47
123,27.47
124,27.47
125,27.37
126,27.47
127,27.47
128,27.37
129,27.37
130,27.37
131,27.37
132,27.37
133,27.37
134,27.47
135,27.47
136,27.47
137,27.37
138,27.37
139,27.47
140,27.47
141,27.47
142,27.37
143,27.37
144,27.47
145,27.47
146,27.47
147,27.47
148,27.37
149,27.47
150,27.37
151,27.47
152,27.47
153,27.47
154,27.47
155,27.37
156,27.37
157,27.37
158,27.47
159,27.37
160,27.47
161,27.47
162,27.47
163,27.47
164,27.37
165,27.47
166,27.47
167,27.37
168,27.47
169,27.47
170,27.47
171,27.37
172,27.47
173,27.37
174,27.37
175,27.47
176,27.47
177,27.47
178,27.37
179,27.47
180,27.37
181,27.37
182,27.37
183,27.37
184,27.37
185,27.37
186,27.47
187,27.47
188,27.47
189,27.47
