row_index,WNAC.AccY
1,-0.01
2,-0.01
3,-0.01
4,0.0
5,0.0
6,0.0
7,-0.01
8,-0.01
9,-0.01
10,0.0
11,0.0
12,-0.01
13,0.0
14,-0.01
15,-0.01
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,-0.01
22,-0.01
23,-0.01
24,-0.01
25,0.0
26,0.0
27,0.0
28,-0.01
29,-0.01
30,0.0
31,0.0
32,-0.01
33,0.0
34,-0.01
35,0.0
36,-0.01
37,-0.01
38,0.0
39,-0.01
40,0.0
41,-0.01
42,0.0
43,0.0
44,-0.01
45,-0.01
46,-0.01
47,-0.01
48,-0.01
49,-0.01
50,-0.01
51,0.0
52,0.0
53,-0.01
54,0.0
55,0.0
56,0.0
57,0.0
58,-0.01
59,0.0
60,-0.01
61,0.0
62,0.0
63,-0.01
64,-0.01
65,0.0
66,-0.01
67,-0.01
68,-0.01
69,0.0
70,-0.01
71,0.0
72,0.0
73,-0.01
74,-0.01
75,-0.01
76,0.0
77,-0.01
78,0.0
79,0.0
80,0.0
81,-0.01
82,-0.01
83,-0.01
84,-0.01
85,-0.01
86,-0.01
87,-0.01
88,-0.01
89,-0.01
90,0.0
91,-0.01
92,0.0
93,0.0
94,-0.01
95,0.0
96,-0.01
97,-0.01
98,0.0
99,0.0
100,-0.01
101,0.0
102,-0.01
103,-0.01
104,-0.01
105,-0.01
106,-0.01
107,0.0
108,-0.01
109,-0.01
110,-0.01
111,-0.01
112,0.0
113,-0.01
114,0.0
115,-0.01
116,-0.01
117,0.0
118,-0.01
119,-0.01
120,-0.01
121,0.0
122,-0.01
123,0.0
124,-0.01
125,-0.01
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,-0.01
132,0.0
133,-0.01
134,0.0
135,0.0
136,0.0
137,0.0
138,-0.01
139,-0.01
140,0.0
141,0.0
142,-0.01
143,-0.01
144,-0.01
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,-0.01
152,0.0
153,0.0
154,-0.01
155,0.0
156,0.0
157,0.0
158,-0.01
159,0.0
160,-0.01
161,-0.01
162,-0.01
163,0.0
164,0.0
165,-0.01
166,-0.01
167,-0.01
168,0.0
169,-0.01
170,0.0
171,-0.01
172,0.0
173,-0.01
174,0.0
175,-0.01
176,0.0
177,-0.01
178,-0.01
179,0.0
180,-0.01
181,0.0
182,-0.01
183,-0.01
184,0.0
185,-0.01
186,0.0
187,0.0
188,-0.01
189,-0.01
190,-0.01
191,-0.01
192,0.0
193,0.0
194,0.0
195,0.0
196,-0.01
197,-0.01
198,0.0
199,0.0
200,0.0
201,0.0
202,-0.01
203,-0.01
204,-0.01
205,-0.01
206,-0.01
207,-0.01
208,-0.01
209,-0.01
210,0.0
211,0.0
212,0.0
213,0.0
214,-0.01
215,-0.01
216,-0.01
217,-0.01
218,-0.01
