row_index,WGEN.TotTm.actTmVal_h
1,41597.12
2,41597.13
3,41597.13
4,41597.13
5,41597.13
6,41597.14
7,41597.14
8,41597.14
9,41597.14
10,41597.14
11,41597.14
12,41597.15
13,41597.15
14,41597.15
15,41597.15
16,41597.16
17,41597.16
18,41597.16
19,41597.16
20,41597.16
21,41597.17
22,41597.17
23,41597.17
24,41597.17
25,41597.17
26,41597.17
27,41597.18
28,41597.18
29,41597.18
30,41597.18
31,41597.19
32,41597.19
33,41597.19
34,41597.19
35,41597.19
36,41597.19
37,41597.2
38,41597.2
39,41597.2
40,41597.2
41,41597.21
42,41597.21
43,41597.21
44,41597.21
45,41597.21
46,41597.21
47,41597.22
48,41597.22
49,41597.22
50,41597.22
51,41597.23
52,41597.23
53,41597.23
54,41597.23
55,41597.23
56,41597.24
57,41597.24
58,41597.24
59,41597.24
60,41597.25
61,41597.25
62,41597.25
63,41597.25
64,41597.25
65,41597.25
66,41597.26
67,41597.26
68,41597.26
69,41597.26
70,41597.26
71,41597.26
72,41597.27
73,41597.27
74,41597.27
75,41597.27
76,41597.28
77,41597.28
78,41597.28
79,41597.28
80,41597.28
81,41597.28
82,41597.29
83,41597.29
84,41597.29
85,41597.29
86,41597.3
87,41597.3
88,41597.3
89,41597.3
90,41597.3
91,41597.3
92,41597.31
93,41597.31
94,41597.31
95,41597.31
96,41597.32
97,41597.32
98,41597.32
99,41597.32
100,41597.32
101,41597.32
102,41597.33
103,41597.33
104,41597.33
105,41597.33
106,41597.33
107,41597.33
108,41597.34
109,41597.34
110,41597.34
111,41597.35
112,41597.35
113,41597.35
114,41597.35
115,41597.35
116,41597.35
117,41597.36
118,41597.36
119,41597.36
120,41597.36
121,41597.37
122,41597.37
123,41597.37
124,41597.37
125,41597.37
126,41597.37
127,41597.38
128,41597.38
129,41597.38
130,41597.38
131,41597.39
132,41597.39
133,41597.39
134,41597.39
135,41597.39
136,41597.39
137,41597.4
138,41597.4
139,41597.4
140,41597.4
141,41597.41
142,41597.41
143,41597.41
144,41597.41
145,41597.41
146,41597.42
147,41597.42
148,41597.42
149,41597.42
150,41597.42
151,41597.42
152,41597.43
153,41597.43
154,41597.43
155,41597.43
156,41597.44
157,41597.44
158,41597.44
159,41597.44
160,41597.44
161,41597.44
162,41597.45
163,41597.45
164,41597.45
165,41597.45
166,41597.46
167,41597.46
168,41597.46
169,41597.46
170,41597.46
171,41597.46
172,41597.46
173,41597.47
174,41597.47
175,41597.47
176,41597.47
177,41597.48
178,41597.48
179,41597.48
180,41597.48
181,41597.48
182,41597.49
183,41597.49
184,41597.49
185,41597.49
186,41597.5
187,41597.5
188,41597.5
189,41597.5
190,41597.5
191,41597.5
192,41597.51
193,41597.51
194,41597.51
195,41597.51
196,41597.51
197,41597.51
198,41597.52
199,41597.52
200,41597.52
201,41597.52
202,41597.53
203,41597.53
204,41597.53
205,41597.53
206,41597.53
207,41597.53
208,41597.54
209,41597.54
210,41597.54
211,41597.54
212,41597.55
213,41597.55
214,41597.55
215,41597.55
216,41597.55
217,41597.56
218,41597.56
219,41597.56
220,41597.56
221,41597.57
222,41597.57
223,41597.57
224,41597.57
225,41597.57
226,41597.57
227,41597.58
228,41597.58
229,41597.58
230,41597.58
231,41597.58
232,41597.58
233,41597.59
234,41597.59
235,41597.59
236,41597.59
237,41597.6
238,41597.6
239,41597.6
240,41597.6
241,41597.6
242,41597.6
243,41597.61
244,41597.61
245,41597.61
246,41597.61
247,41597.62
248,41597.62
249,41597.62
250,41597.62
251,41597.62
252,41597.62
253,41597.62
254,41597.63
255,41597.63
256,41597.63
257,41597.64
258,41597.64
259,41597.64
260,41597.64
261,41597.64
262,41597.64
263,41597.65
264,41597.65
265,41597.65
266,41597.65
267,41597.66
268,41597.66
269,41597.66
270,41597.66
271,41597.66
272,41597.66
273,41597.67
274,41597.67
275,41597.67
276,41597.67
277,41597.67
278,41597.67
279,41597.68
280,41597.68
281,41597.68
282,41597.68
283,41597.69
284,41597.69
285,41597.69
286,41597.69
287,41597.69
288,41597.69
289,41597.7
290,41597.7
291,41597.7
292,41597.71
293,41597.71
294,41597.71
295,41597.71
296,41597.71
297,41597.71
298,41597.72
299,41597.72
300,41597.72
301,41597.72
302,41597.73
303,41597.73
304,41597.73
305,41597.73
306,41597.73
307,41597.73
308,41597.74
309,41597.74
310,41597.74
311,41597.74
312,41597.75
313,41597.75
314,41597.75
315,41597.75
316,41597.75
317,41597.75
318,41597.76
319,41597.76
320,41597.76
321,41597.76
322,41597.76
323,41597.76
324,41597.77
325,41597.77
326,41597.77
327,41597.78
328,41597.78
329,41597.78
330,41597.78
331,41597.78
332,41597.78
333,41597.79
334,41597.79
335,41597.79
336,41597.79
337,41597.79
338,41597.8
339,41597.8
340,41597.8
341,41597.8
342,41597.8
343,41597.81
344,41597.81
345,41597.81
346,41597.81
347,41597.82
348,41597.82
349,41597.82
350,41597.82
351,41597.82
352,41597.82
353,41597.83
354,41597.83
355,41597.83
356,41597.83
357,41597.83
358,41597.83
359,41597.84
360,41597.84
361,41597.84
362,41597.84
363,41597.85
364,41597.85
365,41597.85
366,41597.85
367,41597.85
368,41597.85
369,41597.86
370,41597.86
371,41597.86
372,41597.86
373,41597.87
374,41597.87
375,41597.87
376,41597.87
377,41597.87
378,41597.87
379,41597.88
380,41597.88
381,41597.88
382,41597.88
383,41597.89
384,41597.89
385,41597.89
386,41597.89
387,41597.89
388,41597.9
389,41597.9
390,41597.9
391,41597.9
392,41597.91
393,41597.91
394,41597.91
395,41597.91
396,41597.91
397,41597.91
398,41597.92
399,41597.92
400,41597.92
401,41597.92
402,41597.92
403,41597.92
404,41597.93
405,41597.93
406,41597.93
407,41597.93
408,41597.94
409,41597.94
410,41597.94
411,41597.94
412,41597.94
413,41597.94
414,41597.95
415,41597.95
416,41597.95
417,41597.95
418,41597.96
419,41597.96
420,41597.96
421,41597.96
422,41597.96
423,41597.96
424,41597.97
425,41597.97
426,41597.97
427,41597.97
428,41597.98
429,41597.98
430,41597.98
431,41597.98
432,41597.98
433,41597.98
434,41597.99
435,41597.99
436,41597.99
437,41597.99
438,41598.0
439,41598.0
440,41598.0
441,41598.0
442,41598.0
443,41598.0
444,41598.01
445,41598.01
446,41598.01
447,41598.01
448,41598.01
449,41598.01
450,41598.02
451,41598.02
452,41598.02
453,41598.03
454,41598.03
455,41598.03
456,41598.03
457,41598.03
458,41598.03
459,41598.04
460,41598.04
461,41598.04
462,41598.04
463,41598.05
464,41598.05
465,41598.05
466,41598.05
467,41598.05
468,41598.05
469,41598.06
470,41598.06
471,41598.06
472,41598.06
473,41598.07
474,41598.07
475,41598.07
476,41598.07
477,41598.07
478,41598.07
479,41598.08
480,41598.08
481,41598.08
482,41598.08
483,41598.08
484,41598.08
485,41598.09
486,41598.09
487,41598.09
488,41598.09
489,41598.1
490,41598.1
491,41598.1
492,41598.1
493,41598.1
494,41598.11
495,41598.11
496,41598.11
497,41598.11
498,41598.12
499,41598.12
500,41598.12
501,41598.12
502,41598.12
503,41598.12
504,41598.12
505,41598.13
506,41598.13
507,41598.13
508,41598.13
509,41598.14
510,41598.14
511,41598.14
512,41598.14
513,41598.14
514,41598.14
515,41598.15
516,41598.15
517,41598.15
518,41598.15
519,41598.16
520,41598.16
521,41598.16
522,41598.16
523,41598.16
524,41598.17
525,41598.17
526,41598.17
527,41598.17
528,41598.17
529,41598.17
530,41598.18
531,41598.18
532,41598.18
533,41598.18
534,41598.19
535,41598.19
536,41598.19
537,41598.19
538,41598.19
539,41598.19
540,41598.2
541,41598.2
542,41598.2
543,41598.2
544,41598.21
545,41598.21
546,41598.21
547,41598.21
548,41598.21
549,41598.21
550,41598.22
551,41598.22
552,41598.22
553,41598.22
554,41598.23
555,41598.23
556,41598.23
557,41598.23
558,41598.23
559,41598.23
560,41598.24
561,41598.24
562,41598.24
563,41598.25
564,41598.25
565,41598.25
566,41598.25
567,41598.25
568,41598.25
569,41598.26
570,41598.26
571,41598.26
572,41598.26
573,41598.26
574,41598.26
575,41598.27
576,41598.27
577,41598.27
578,41598.27
579,41598.28
580,41598.28
581,41598.28
582,41598.28
583,41598.28
584,41598.28
585,41598.29
586,41598.29
587,41598.29
588,41598.29
589,41598.29
590,41598.3
591,41598.3
592,41598.3
593,41598.3
594,41598.3
595,41598.31
596,41598.31
597,41598.31
598,41598.31
599,41598.31
600,41598.32
601,41598.32
602,41598.32
603,41598.32
604,41598.32
605,41598.33
606,41598.33
607,41598.33
608,41598.33
609,41598.33
610,41598.33
611,41598.34
612,41598.34
613,41598.34
614,41598.34
615,41598.35
616,41598.35
617,41598.35
618,41598.35
619,41598.35
620,41598.35
621,41598.36
622,41598.36
623,41598.36
624,41598.36
625,41598.37
626,41598.37
627,41598.37
628,41598.37
629,41598.37
630,41598.37
631,41598.38
632,41598.38
633,41598.38
634,41598.38
635,41598.39
636,41598.39
637,41598.39
638,41598.39
639,41598.39
640,41598.4
641,41598.4
642,41598.4
643,41598.4
644,41598.41
645,41598.41
646,41598.41
647,41598.41
648,41598.41
649,41598.41
650,41598.42
651,41598.42
652,41598.42
653,41598.42
654,41598.42
655,41598.42
656,41598.43
657,41598.43
658,41598.43
659,41598.43
660,41598.44
