row_index,WMAN.InitFileVersion
186,sinoma42.2_v20150728
187,sinoma42.2_v20150728
188,sinoma42.2_v20150728
189,sinoma42.2_v20150728
190,sinoma42.2_v20150728
191,sinoma42.2_v20150728
192,sinoma42.2_v20150728
193,sinoma42.2_v20150728
194,sinoma42.2_v20150728
195,sinoma42.2_v20150728
196,sinoma42.2_v20150728
197,sinoma42.2_v20150728
198,sinoma42.2_v20150728
199,sinoma42.2_v20150728
200,sinoma42.2_v20150728
201,sinoma42.2_v20150728
202,sinoma42.2_v20150728
203,sinoma42.2_v20150728
204,sinoma42.2_v20150728
205,sinoma42.2_v20150728
206,sinoma42.2_v20150728
207,sinoma42.2_v20150728
208,sinoma42.2_v20150728
209,sinoma42.2_v20150728
210,sinoma42.2_v20150728
211,sinoma42.2_v20150728
212,sinoma42.2_v20150728
213,sinoma42.2_v20150728
214,sinoma42.2_v20150728
215,sinoma42.2_v20150728
216,sinoma42.2_v20150728
217,sinoma42.2_v20150728
218,sinoma42.2_v20150728
219,sinoma42.2_v20150728
220,sinoma42.2_v20150728
221,sinoma42.2_v20150728
222,sinoma42.2_v20150728
223,sinoma42.2_v20150728
224,sinoma42.2_v20150728
225,sinoma42.2_v20150728
226,sinoma42.2_v20150728
227,sinoma42.2_v20150728
228,sinoma42.2_v20150728
229,sinoma42.2_v20150728
230,sinoma42.2_v20150728
231,sinoma42.2_v20150728
232,sinoma42.2_v20150728
233,sinoma42.2_v20150728
234,sinoma42.2_v20150728
235,sinoma42.2_v20150728
236,sinoma42.2_v20150728
237,sinoma42.2_v20150728
238,sinoma42.2_v20150728
239,sinoma42.2_v20150728
240,sinoma42.2_v20150728
241,sinoma42.2_v20150728
242,sinoma42.2_v20150728
243,sinoma42.2_v20150728
244,sinoma42.2_v20150728
245,sinoma42.2_v20150728
246,sinoma42.2_v20150728
247,sinoma42.2_v20150728
248,sinoma42.2_v20150728
249,sinoma42.2_v20150728
250,sinoma42.2_v20150728
251,sinoma42.2_v20150728
252,sinoma42.2_v20150728
253,sinoma42.2_v20150728
254,sinoma42.2_v20150728
255,sinoma42.2_v20150728
256,sinoma42.2_v20150728
257,sinoma42.2_v20150728
258,sinoma42.2_v20150728
259,sinoma42.2_v20150728
260,sinoma42.2_v20150728
261,sinoma42.2_v20150728
262,sinoma42.2_v20150728
263,sinoma42.2_v20150728
264,sinoma42.2_v20150728
265,sinoma42.2_v20150728
266,sinoma42.2_v20150728
267,sinoma42.2_v20150728
268,sinoma42.2_v20150728
269,sinoma42.2_v20150728
270,sinoma42.2_v20150728
271,sinoma42.2_v20150728
272,sinoma42.2_v20150728
273,sinoma42.2_v20150728
274,sinoma42.2_v20150728
275,sinoma42.2_v20150728
276,sinoma42.2_v20150728
277,sinoma42.2_v20150728
278,sinoma42.2_v20150728
279,sinoma42.2_v20150728
280,sinoma42.2_v20150728
281,sinoma42.2_v20150728
282,sinoma42.2_v20150728
283,sinoma42.2_v20150728
284,sinoma42.2_v20150728
285,sinoma42.2_v20150728
286,sinoma42.2_v20150728
287,sinoma42.2_v20150728
288,sinoma42.2_v20150728
289,sinoma42.2_v20150728
290,sinoma42.2_v20150728
291,sinoma42.2_v20150728
292,sinoma42.2_v20150728
293,sinoma42.2_v20150728
294,sinoma42.2_v20150728
295,sinoma42.2_v20150728
296,sinoma42.2_v20150728
297,sinoma42.2_v20150728
298,sinoma42.2_v20150728
299,sinoma42.2_v20150728
300,sinoma42.2_v20150728
301,sinoma42.2_v20150728
302,sinoma42.2_v20150728
303,sinoma42.2_v20150728
304,sinoma42.2_v20150728
