row_index,WROT.CptVolLow.Bl3
1,29.35
2,29.37
3,29.21
4,29.56
5,29.24
6,29.48
7,29.5
8,29.6
9,29.35
10,29.15
11,29.17
12,29.62
13,29.56
14,29.65
15,29.13
16,29.24
17,29.58
18,29.27
19,29.63
20,29.19
21,29.58
22,29.61
23,29.2
24,29.31
25,29.32
26,29.36
27,29.24
28,29.21
29,29.34
30,29.17
31,29.21
32,29.23
33,29.28
34,29.32
35,29.61
36,29.33
37,29.23
38,29.58
39,29.44
40,29.26
41,29.6
42,29.56
43,29.59
44,29.56
45,28.99
46,29.57
47,29.18
48,29.6
49,29.62
50,29.72
51,29.32
52,29.61
53,29.36
54,29.62
55,29.12
56,29.6
57,29.18
58,29.56
59,29.56
60,29.24
61,29.6
62,29.61
63,29.6
64,29.56
65,29.3
66,29.57
67,29.6
68,29.38
69,29.61
70,29.3
71,29.58
72,29.39
73,29.56
74,29.62
75,29.21
76,29.34
77,29.33
78,29.55
79,29.65
80,29.64
81,29.62
82,29.33
83,29.54
84,29.6
85,29.32
86,29.63
87,29.62
88,29.62
89,29.15
90,29.21
91,29.14
92,29.52
93,29.73
94,29.32
95,29.32
96,29.6
97,29.6
98,29.64
99,29.21
100,29.39
101,29.58
102,29.58
103,29.21
104,29.65
105,29.63
106,29.4
107,29.23
108,29.19
109,29.65
110,29.5
111,29.6
112,29.71
113,29.16
114,29.63
115,29.21
116,29.48
117,29.61
118,29.6
119,29.4
120,29.32
121,29.62
122,29.28
123,29.18
124,29.61
125,29.39
126,29.52
127,29.19
128,29.61
129,29.23
130,29.23
131,29.69
132,29.61
133,29.27
134,29.6
135,29.62
136,29.52
137,29.67
138,29.48
139,29.63
140,29.59
141,29.6
142,29.25
143,29.55
144,29.36
145,29.27
146,29.55
147,29.6
148,29.61
149,29.22
150,29.16
151,29.56
152,29.62
153,28.99
154,29.65
155,29.35
156,29.47
157,29.21
158,29.6
159,29.62
160,29.62
161,29.62
162,29.64
163,29.63
164,29.2
165,29.17
166,29.35
167,29.63
168,29.6
169,29.24
170,29.17
171,29.37
172,29.32
173,29.37
174,29.33
175,29.62
176,29.31
177,29.32
178,29.58
179,29.18
180,29.28
181,29.65
182,29.65
183,29.57
184,29.36
185,29.35
186,29.16
187,29.57
188,29.62
189,29.24
190,29.6
191,29.63
192,29.61
193,29.6
194,29.05
195,29.62
196,29.21
197,29.59
198,29.6
199,29.67
200,29.31
201,29.46
202,29.28
203,29.16
204,29.32
205,29.68
206,29.28
207,29.65
208,29.2
209,29.23
210,29.6
211,29.57
212,29.7
213,29.56
214,29.65
215,29.64
216,29.59
217,29.7
218,29.65
219,29.65
220,29.5
221,29.68
222,29.17
223,29.57
224,29.21
225,29.21
226,29.61
227,29.62
228,29.61
229,29.61
230,29.63
231,29.61
232,29.51
233,29.25
234,29.73
235,29.36
236,29.06
237,29.15
238,29.19
239,29.44
240,29.31
241,29.65
242,29.65
243,29.61
244,29.2
245,29.57
246,29.61
247,29.51
248,29.28
249,29.18
250,29.34
251,29.18
252,29.22
253,29.74
254,29.15
255,29.13
256,29.18
257,29.17
258,29.13
259,29.33
260,29.51
261,29.54
262,29.69
263,29.63
264,29.19
265,29.69
266,29.32
267,29.29
268,29.65
269,29.23
270,29.56
271,29.33
272,29.61
273,29.61
274,29.55
275,29.3
276,29.59
277,29.49
278,29.31
279,29.15
280,29.36
281,29.26
282,29.26
283,29.23
284,29.21
285,29.28
286,29.59
287,29.49
288,29.32
289,29.57
290,29.32
291,29.32
292,29.34
293,29.35
294,29.59
295,29.55
296,29.55
297,29.17
298,29.28
299,29.66
300,29.57
301,29.11
302,29.68
303,29.6
304,29.63
305,29.17
306,29.47
307,29.59
308,29.62
309,29.56
310,29.2
311,29.23
312,29.25
313,29.65
314,29.59
315,29.13
316,29.54
317,29.55
318,29.63
319,29.16
320,29.14
321,29.64
322,29.2
323,29.62
324,29.64
325,29.27
326,29.59
327,29.3
328,29.33
329,29.59
330,29.63
331,29.61
332,29.66
333,29.61
334,29.21
335,29.36
336,29.33
337,29.44
338,29.22
339,29.21
340,29.25
341,29.25
342,29.62
343,29.15
344,29.6
345,29.39
346,29.63
347,29.27
348,29.65
349,29.64
350,29.62
351,29.25
352,29.2
353,29.4
354,29.51
