row_index,WROT.CptVolLow.Bl1
1,29.19
2,29.18
3,29.2
4,29.17
5,29.26
6,29.28
7,29.17
8,29.26
9,29.13
10,29.21
11,29.6
12,29.21
13,29.61
14,29.62
15,29.6
16,29.6
17,29.36
18,29.64
19,29.07
20,29.59
21,29.39
22,29.18
23,29.51
24,29.57
25,29.62
26,29.61
27,29.57
28,29.61
29,29.62
30,29.59
31,29.61
32,29.59
33,29.59
34,29.58
35,29.18
36,29.61
37,29.17
38,29.13
39,29.03
40,29.63
41,29.61
42,29.22
43,29.23
44,29.21
45,29.12
46,29.61
47,29.23
48,29.13
49,29.61
50,29.6
51,29.06
52,29.23
53,29.04
54,29.59
55,29.11
56,29.66
57,29.24
58,29.14
59,29.56
60,28.98
61,29.6
62,29.66
63,29.61
64,29.6
65,29.63
66,29.37
67,29.62
68,29.2
69,29.57
70,29.19
71,29.59
72,29.17
73,29.13
74,29.67
75,29.64
76,29.2
77,29.2
78,29.3
79,29.22
80,29.17
81,29.31
82,29.62
83,29.57
84,29.22
85,29.38
86,29.19
87,29.24
88,29.21
89,29.42
90,29.65
91,29.58
92,29.04
93,29.62
94,29.14
95,29.59
96,29.58
97,29.58
98,29.18
99,29.06
100,29.14
101,29.6
102,29.49
103,29.44
104,29.65
105,29.63
106,29.05
107,29.04
108,29.2
109,29.66
110,29.05
111,29.21
112,29.22
113,29.19
114,29.63
115,29.34
116,29.21
117,29.05
118,29.4
119,29.56
120,29.56
121,29.12
122,29.25
123,29.65
124,29.05
125,29.55
126,29.12
127,29.58
128,29.39
129,29.63
130,29.14
131,29.48
132,29.38
133,29.55
134,29.14
135,29.34
136,29.27
137,29.67
138,29.62
139,29.63
140,29.64
141,29.47
142,29.27
143,29.08
144,29.19
145,29.18
146,29.2
147,29.2
148,29.58
149,29.11
150,29.03
151,29.18
152,29.57
153,29.05
154,29.17
155,29.62
156,29.34
157,29.52
158,29.59
159,29.7
160,29.59
161,29.65
162,29.63
163,29.14
164,29.14
165,29.18
166,29.13
167,29.67
