row_index,WGEN.Conver_grid_L1b_igbt_Tep.i
1,27.66
2,27.61
3,27.61
4,27.61
5,27.61
6,27.61
7,27.61
8,27.61
9,27.61
10,27.61
11,27.61
12,27.61
13,27.61
14,27.61
15,27.61
16,27.66
17,27.61
18,27.61
19,27.61
20,27.61
21,27.61
22,27.61
23,27.61
24,27.61
25,27.56
26,27.61
27,27.61
28,27.61
29,27.56
30,27.61
31,27.61
32,27.61
33,27.61
34,27.56
35,27.61
36,27.56
37,27.61
38,27.61
39,27.61
40,27.61
41,27.61
42,27.61
43,27.61
44,27.61
45,27.61
46,27.61
47,27.61
48,27.61
49,27.61
50,27.61
51,27.61
52,27.61
53,27.66
54,27.66
55,27.66
56,27.61
57,27.61
58,27.66
59,27.61
60,27.61
61,27.66
62,27.61
63,27.61
64,27.56
65,27.56
66,27.61
67,27.61
68,27.61
69,27.61
70,27.61
71,27.61
72,27.61
73,27.61
74,27.61
75,27.61
76,27.61
77,27.61
78,27.56
79,27.56
80,27.61
81,27.61
82,27.61
83,27.61
84,27.61
85,27.61
86,27.61
87,27.61
88,27.61
89,27.61
90,27.61
91,27.61
92,27.61
93,27.56
94,27.61
95,27.61
96,27.61
97,27.66
98,27.61
99,27.61
100,27.61
101,27.66
102,27.61
103,27.61
104,27.61
105,27.61
106,27.61
107,27.61
108,27.61
109,27.56
110,27.61
111,27.56
112,27.56
113,27.61
114,27.61
115,27.61
116,27.61
117,27.61
118,27.61
119,27.56
120,27.61
121,27.61
122,27.61
123,27.61
124,27.56
125,27.61
126,27.61
127,27.66
128,27.61
129,27.61
130,27.61
131,27.61
132,27.56
133,27.61
134,27.61
135,27.61
136,27.61
137,27.61
138,27.61
139,27.56
140,27.61
141,27.66
142,27.71
143,27.61
144,27.61
145,27.61
146,27.61
147,27.61
148,27.61
149,27.61
150,27.61
151,27.66
152,27.61
153,27.61
154,27.61
155,27.61
156,27.56
157,27.61
158,27.61
159,27.66
160,27.61
161,27.61
162,27.61
163,27.61
164,27.61
165,27.61
166,27.61
167,27.66
168,27.61
169,27.61
170,27.61
171,27.61
172,27.61
173,27.56
174,27.61
175,27.56
176,27.61
177,27.61
178,27.56
179,27.61
180,27.61
181,27.61
182,27.61
183,27.61
184,27.61
185,27.61
186,27.61
187,27.61
188,27.56
189,27.61
190,27.61
191,27.61
192,27.61
193,27.66
194,27.61
195,27.61
196,27.61
197,27.61
198,27.61
199,27.56
200,27.61
201,27.61
202,27.61
203,27.61
204,27.61
205,27.61
206,27.66
207,27.61
208,27.61
209,27.61
210,27.66
211,27.61
212,27.61
213,27.61
214,27.66
215,27.56
216,27.66
217,27.61
218,27.66
219,27.61
220,27.61
221,27.61
222,27.61
223,27.56
224,27.61
225,27.61
226,27.61
227,27.61
228,27.66
229,27.56
230,27.61
231,27.61
232,27.61
233,27.61
234,27.61
235,27.61
236,27.61
237,27.61
238,27.61
239,27.61
240,27.61
241,27.61
242,27.61
243,27.66
244,27.61
245,27.56
246,27.56
247,27.61
248,27.61
249,27.61
250,27.66
251,27.61
252,27.61
253,27.61
254,27.61
255,27.61
256,27.61
257,27.61
258,27.61
259,27.61
260,27.61
261,27.61
262,27.61
263,27.66
264,27.66
265,27.61
266,27.61
267,27.61
268,27.61
269,27.61
270,27.61
271,27.61
272,27.61
273,27.56
274,27.61
275,27.61
276,27.61
277,27.61
278,27.61
279,27.66
280,27.61
281,27.61
282,27.61
283,27.61
284,27.61
285,27.61
286,27.66
287,27.61
288,27.61
289,27.66
290,27.56
291,27.61
292,27.61
293,27.61
294,27.61
295,27.61
296,27.61
297,27.61
298,27.61
299,27.61
300,27.61
301,27.61
302,27.61
303,27.61
304,27.56
305,27.61
306,27.61
307,27.66
308,27.61
309,27.61
310,27.61
311,27.61
312,27.66
313,27.61
314,27.61
315,27.61
316,27.61
317,27.66
318,27.61
319,27.61
320,27.56
321,27.66
322,27.61
323,27.61
324,27.66
325,27.61
326,27.66
327,27.61
328,27.61
329,27.61
330,27.61
331,27.61
332,27.61
333,27.61
334,27.61
335,27.61
336,27.66
337,27.61
338,27.61
339,27.61
340,27.61
341,27.61
342,27.61
343,27.61
344,27.66
345,27.66
346,27.61
347,27.61
348,27.56
349,27.66
350,27.66
351,27.66
352,27.61
353,27.61
354,27.61
355,27.61
356,27.61
357,27.66
358,27.56
359,27.66
360,27.61
361,27.61
362,27.61
363,27.61
364,27.61
365,27.61
366,27.61
367,27.66
368,27.61
369,27.61
370,27.61
371,27.61
372,27.61
373,27.61
374,27.66
375,27.61
376,27.66
377,27.61
378,27.61
379,27.61
380,27.61
381,27.61
382,27.61
383,27.61
384,27.66
385,27.56
386,27.56
387,27.61
388,27.61
389,27.61
390,27.61
391,27.61
392,27.66
393,27.61
394,27.61
395,27.66
396,27.66
397,27.61
398,27.61
399,27.61
400,27.61
401,27.61
402,27.61
403,27.61
404,27.61
405,27.61
406,27.61
407,27.61
408,27.61
409,27.61
410,27.61
411,27.66
412,27.61
413,27.61
414,27.66
415,27.61
416,27.61
417,27.61
418,27.61
419,27.61
420,27.61
421,27.61
422,27.61
423,27.61
424,27.61
425,27.61
426,27.61
427,27.61
428,27.61
429,27.61
430,27.61
431,27.61
432,27.61
433,27.61
434,27.61
435,27.61
436,27.61
437,27.61
438,27.61
439,27.61
440,27.61
441,27.61
442,27.61
443,27.61
444,27.61
445,27.61
446,27.61
447,27.61
448,27.61
449,27.61
450,27.61
451,27.61
452,27.61
453,27.61
454,27.56
455,27.61
456,27.61
457,27.56
458,27.61
459,27.61
460,27.61
