row_index,WGEN.PwrEpd.InstMag.i
1,28326.0
2,28326.0
3,28326.0
4,28326.0
5,28326.0
6,28326.0
7,28326.0
8,28326.0
9,28326.0
10,28326.0
11,28326.0
12,28326.0
13,28326.0
14,28326.0
15,28326.0
16,28326.0
17,28326.0
18,28326.0
19,28326.0
20,28326.0
21,28326.0
22,28326.0
23,28326.0
24,28326.0
25,28326.0
26,28326.0
27,28326.0
28,28326.0
29,28326.0
30,28326.0
31,28326.0
32,28326.0
33,28326.0
34,28326.0
35,28326.0
36,28326.0
37,28326.0
38,28326.0
39,28326.0
40,28326.0
41,28326.0
42,28326.0
43,28326.0
44,28326.0
45,28326.0
46,28326.0
47,28326.0
48,28326.0
49,28326.0
50,28326.0
51,28326.0
52,28326.0
53,28326.0
54,28326.0
55,28326.0
56,28326.0
57,28326.0
58,28326.0
59,28326.0
60,28326.0
61,28326.0
62,28326.0
63,28326.0
64,28326.0
65,28326.0
66,28326.0
67,28326.0
68,28326.0
69,28326.0
70,28326.0
71,28326.0
72,28326.0
73,28326.0
74,28326.0
75,28326.0
76,28326.0
77,28326.0
78,28326.0
79,28326.0
80,28326.0
81,28326.0
82,28326.0
83,28326.0
84,28326.0
85,28326.0
86,28326.0
87,28326.0
88,28326.0
89,28326.0
90,28326.0
91,28326.0
92,28326.0
93,28326.0
94,28326.0
95,28326.0
96,28326.0
97,28326.0
98,28326.0
99,28326.0
100,28326.0
101,28326.0
102,28326.0
103,28326.0
104,28326.0
105,28326.0
106,28326.0
107,28326.0
108,28326.0
109,28326.0
110,28326.0
111,28326.0
112,28326.0
113,28326.0
114,28326.0
115,28326.0
116,28326.0
117,28326.0
118,28326.0
119,28326.0
120,28326.0
121,28326.0
122,28326.0
123,28326.0
124,28326.0
125,28326.0
126,28326.0
127,28326.0
128,28326.0
129,28326.0
130,28326.0
131,28326.0
132,28326.0
133,28326.0
134,28326.0
135,28326.0
136,28326.0
137,28326.0
138,28326.0
139,28326.0
140,28326.0
141,28326.0
142,28326.0
143,28326.0
144,28326.0
145,28326.0
146,28326.0
147,28326.0
148,28326.0
149,28326.0
150,28326.0
151,28326.0
152,28326.0
153,28326.0
154,28326.0
155,28326.0
156,28326.0
157,28326.0
158,28326.0
159,28326.0
160,28326.0
161,28326.0
162,28326.0
163,28326.0
164,28326.0
165,28326.0
166,28326.0
167,28326.0
168,28326.0
169,28326.0
170,28326.0
171,28326.0
172,28326.0
173,28326.0
174,28326.0
175,28326.0
176,28326.0
177,28326.0
178,28326.0
179,28326.0
180,28326.0
181,28326.0
182,28326.0
183,28326.0
184,28326.0
185,28326.0
186,28326.0
187,28326.0
188,28326.0
189,28326.0
190,28326.0
191,28326.0
192,28326.0
193,28326.0
194,28326.0
195,28326.0
196,28326.0
197,28326.0
198,28326.0
199,28326.0
200,28326.0
201,28326.0
202,28326.0
203,28326.0
204,28326.0
205,28326.0
206,28326.0
207,28326.0
208,28326.0
209,28326.0
210,28326.0
211,28326.0
212,28326.0
213,28326.0
214,28326.0
215,28326.0
216,28326.0
217,28326.0
218,28326.0
219,28326.0
220,28326.0
221,28326.0
222,28326.0
223,28326.0
224,28326.0
225,28326.0
226,28326.0
227,28326.0
228,28326.0
229,28326.0
230,28326.0
231,28326.0
232,28326.0
233,28326.0
234,28326.0
235,28326.0
236,28326.0
237,28326.0
238,28326.0
239,28326.0
240,28326.0
241,28326.0
242,28326.0
243,28326.0
244,28326.0
245,28326.0
246,28326.0
247,28326.0
248,28326.0
249,28326.0
250,28326.0
251,28326.0
252,28326.0
253,28326.0
254,28326.0
