row_index,WTUR.CTim.Wt.F32.WindValid
1,27797.35
2,27797.35
3,27797.35
4,27797.35
5,27797.35
6,27797.36
7,27797.36
8,27797.36
9,27797.36
10,27797.36
11,27797.37
12,27797.37
13,27797.37
14,27797.37
15,27797.37
16,27797.38
17,27797.38
18,27797.38
19,27797.38
20,27797.38
21,27797.39
22,27797.39
23,27797.39
24,27797.39
25,27797.39
26,27797.4
27,27797.4
28,27797.4
29,27797.4
30,27797.4
31,27797.41
32,27797.41
33,27797.41
34,27797.41
35,27797.41
36,27797.42
37,27797.42
38,27797.42
39,27797.42
40,27797.42
41,27797.43
42,27797.43
43,27797.43
44,27797.43
45,27797.43
46,27797.44
47,27797.44
48,27797.44
49,27797.44
50,27797.44
51,27797.45
52,27797.45
53,27797.45
54,27797.45
55,27797.45
56,27797.46
57,27797.46
58,27797.46
59,27797.46
60,27797.46
61,27797.47
62,27797.47
63,27797.47
64,27797.47
65,27797.47
66,27797.48
67,27797.48
68,27797.48
69,27797.48
70,27797.48
71,27797.49
72,27797.49
73,27797.49
74,27797.49
75,27797.49
76,27797.5
77,27797.5
78,27797.5
79,27797.5
80,27797.5
81,27797.51
82,27797.51
83,27797.51
84,27797.51
85,27797.51
86,27797.51
87,27797.52
88,27797.52
89,27797.52
90,27797.52
91,27797.53
92,27797.53
93,27797.53
94,27797.53
95,27797.53
96,27797.54
97,27797.54
98,27797.54
99,27797.54
100,27797.54
101,27797.55
102,27797.55
103,27797.55
104,27797.55
105,27797.55
106,27797.56
107,27797.56
108,27797.56
109,27797.56
110,27797.56
111,27797.57
112,27797.57
113,27797.57
114,27797.57
115,27797.57
116,27797.58
117,27797.58
118,27797.58
119,27797.58
120,27797.58
121,27797.59
122,27797.59
123,27797.59
124,27797.59
125,27797.59
126,27797.6
127,27797.6
128,27797.6
129,27797.6
130,27797.6
131,27797.61
132,27797.61
133,27797.61
134,27797.61
135,27797.61
136,27797.62
137,27797.62
138,27797.62
139,27797.62
140,27797.62
141,27797.63
142,27797.63
143,27797.63
144,27797.63
145,27797.63
146,27797.64
147,27797.64
148,27797.64
149,27797.64
150,27797.64
151,27797.65
152,27797.65
153,27797.65
154,27797.65
155,27797.65
156,27797.66
157,27797.66
158,27797.66
159,27797.66
160,27797.66
161,27797.67
162,27797.67
163,27797.67
164,27797.67
165,27797.67
166,27797.68
167,27797.68
168,27797.68
169,27797.68
170,27797.68
171,27797.68
172,27797.69
173,27797.69
174,27797.69
175,27797.69
176,27797.69
177,27797.7
178,27797.7
179,27797.7
180,27797.7
181,27797.7
182,27797.71
183,27797.71
184,27797.71
185,27797.71
186,27797.71
187,27797.72
188,27797.72
189,27797.72
190,27797.72
191,27797.72
192,27797.73
193,27797.73
194,27797.73
195,27797.73
196,27797.73
197,27797.74
198,27797.74
199,27797.74
200,27797.74
201,27797.74
202,27797.75
203,27797.75
204,27797.75
205,27797.75
206,27797.75
207,27797.76
208,27797.76
209,27797.76
210,27797.76
211,27797.76
212,27797.77
213,27797.77
214,27797.77
215,27797.77
216,27797.77
217,27797.78
218,27797.78
219,27797.78
220,27797.78
221,27797.78
222,27797.79
223,27797.79
224,27797.79
225,27797.79
226,27797.79
227,27797.8
228,27797.8
229,27797.8
230,27797.8
231,27797.8
232,27797.81
233,27797.81
234,27797.81
235,27797.81
236,27797.81
237,27797.82
238,27797.82
239,27797.82
240,27797.82
241,27797.82
242,27797.83
243,27797.83
244,27797.83
245,27797.83
246,27797.83
247,27797.84
248,27797.84
249,27797.84
250,27797.84
251,27797.84
252,27797.85
253,27797.85
254,27797.85
255,27797.85
256,27797.85
257,27797.85
258,27797.86
259,27797.86
260,27797.86
261,27797.86
262,27797.86
263,27797.87
264,27797.87
265,27797.87
266,27797.87
267,27797.87
268,27797.88
269,27797.88
270,27797.88
271,27797.88
272,27797.88
273,27797.89
274,27797.89
275,27797.89
276,27797.89
277,27797.89
278,27797.9
279,27797.9
280,27797.9
281,27797.9
282,27797.9
283,27797.91
284,27797.91
285,27797.91
286,27797.91
287,27797.91
288,27797.92
289,27797.92
290,27797.92
291,27797.92
292,27797.92
293,27797.93
294,27797.93
295,27797.93
296,27797.93
297,27797.93
298,27797.94
299,27797.94
300,27797.94
301,27797.94
302,27797.94
303,27797.95
304,27797.95
305,27797.95
306,27797.95
307,27797.95
308,27797.96
309,27797.96
310,27797.96
311,27797.96
312,27797.96
313,27797.97
314,27797.97
315,27797.97
316,27797.97
317,27797.97
318,27797.98
319,27797.98
320,27797.98
321,27797.98
322,27797.98
323,27797.99
324,27797.99
325,27797.99
326,27797.99
327,27798.0
328,27798.0
329,27798.0
330,27798.0
331,27798.0
332,27798.01
333,27798.01
334,27798.01
335,27798.01
336,27798.01
337,27798.01
338,27798.02
339,27798.02
340,27798.02
341,27798.02
342,27798.02
343,27798.03
344,27798.03
345,27798.03
346,27798.03
347,27798.03
348,27798.04
349,27798.04
350,27798.04
351,27798.04
352,27798.04
353,27798.05
354,27798.05
355,27798.05
356,27798.05
357,27798.05
358,27798.06
359,27798.06
360,27798.06
361,27798.06
362,27798.06
363,27798.07
364,27798.07
365,27798.07
366,27798.07
367,27798.07
368,27798.08
369,27798.08
370,27798.08
371,27798.08
372,27798.08
373,27798.09
374,27798.09
375,27798.09
376,27798.09
377,27798.09
378,27798.1
379,27798.1
380,27798.1
381,27798.1
382,27798.1
383,27798.11
384,27798.11
385,27798.11
386,27798.11
387,27798.11
388,27798.12
389,27798.12
390,27798.12
391,27798.12
392,27798.12
393,27798.13
394,27798.13
