row_index,WYAW.HydWorkTm
1,10986.0
2,10986.0
3,10986.0
4,10986.0
5,10986.0
6,10986.0
7,10986.0
8,10986.0
9,10986.0
10,10986.0
11,10986.0
12,10986.0
13,10986.0
14,10986.0
15,10986.0
16,10986.0
17,10986.0
18,10986.0
19,10986.0
20,10986.0
21,10986.0
22,10986.0
23,10986.0
24,10986.0
25,10986.0
26,10986.0
27,10986.0
28,10986.0
29,10986.0
30,10986.0
31,10986.0
32,10986.0
33,10986.0
34,10986.0
35,10986.0
36,10986.0
37,10986.0
38,10986.0
39,10986.0
40,10986.0
41,10986.0
42,10986.0
43,10986.0
44,10986.0
45,10986.0
46,10986.0
47,10986.0
48,10986.0
49,10986.0
50,10986.0
51,10986.0
52,10986.0
53,10986.0
54,10986.0
55,10986.0
56,10986.0
57,10986.0
58,10986.0
59,10986.0
60,10986.0
61,10986.0
62,10986.0
63,10986.0
64,10986.0
65,10986.0
66,10986.0
67,10986.0
68,10986.0
69,10986.0
70,10986.0
71,10986.0
72,10986.0
73,10986.0
74,10986.0
75,10986.0
76,10986.0
77,10986.0
78,10986.0
79,10986.0
80,10986.0
81,10986.0
82,10986.0
83,10986.0
84,10986.0
85,10986.0
86,10986.0
87,10986.0
88,10986.0
89,10986.0
90,10986.0
91,10986.0
92,10986.0
93,10986.0
94,10986.0
95,10986.0
96,10986.0
97,10986.0
98,10986.0
99,10986.0
100,10986.0
101,10986.0
102,10986.0
103,10986.0
104,10986.0
105,10986.0
106,10986.0
107,10986.0
108,10986.0
109,10986.0
110,10986.0
111,10986.0
112,10986.0
113,10986.0
114,10986.0
115,10986.0
116,10986.0
117,10986.0
118,10986.0
119,10986.0
120,10986.0
121,10986.0
122,10986.0
123,10986.0
124,10986.0
125,10986.0
126,10986.0
127,10986.0
128,10986.0
129,10986.0
130,10986.0
131,10986.0
132,10986.0
133,10986.0
134,10986.0
135,10986.0
136,10986.0
137,10986.0
138,10986.0
139,10986.0
140,10986.0
141,10986.0
142,10986.0
143,10986.0
144,10986.0
