row_index,WGEN.Sensor6Tmp
1,13.0
2,13.0
3,13.1
4,13.0
5,13.1
6,13.1
7,13.0
8,13.1
9,13.0
10,13.0
11,13.0
12,13.0
13,13.0
14,13.0
15,13.0
16,13.0
17,13.1
18,13.0
19,13.0
20,13.0
21,13.0
22,13.0
23,13.0
24,13.0
25,13.0
26,13.0
27,13.1
28,13.0
29,13.0
30,12.8
31,13.0
32,12.89
33,13.0
34,13.0
35,12.8
36,12.89
37,12.89
38,12.89
39,12.89
40,13.0
41,12.89
42,13.0
43,13.0
44,13.0
45,12.8
46,13.0
47,12.89
48,12.8
49,12.8
50,12.8
51,12.89
52,12.8
53,12.89
54,12.8
55,12.8
56,12.8
57,12.89
58,12.8
59,12.8
60,12.8
61,12.8
62,12.89
63,12.8
64,12.8
65,12.8
66,12.8
67,12.89
68,12.8
69,12.89
70,12.8
71,12.8
72,12.8
73,12.89
74,12.8
75,12.89
76,12.8
77,12.8
78,12.8
79,12.8
80,12.8
81,12.8
82,12.8
83,12.8
84,12.8
85,12.89
86,12.8
87,12.8
88,12.8
89,12.8
90,12.8
91,12.6
92,12.8
93,12.8
94,12.8
95,12.8
96,12.8
97,12.8
98,12.8
99,12.8
100,12.8
101,12.8
102,12.8
103,12.8
104,12.8
105,12.8
106,12.8
107,12.8
108,12.8
109,12.8
110,12.89
111,12.8
112,12.8
113,12.8
114,12.8
115,12.8
116,12.89
117,12.8
118,12.8
119,12.8
120,12.8
121,12.8
122,12.89
123,12.8
124,12.8
125,12.8
126,12.8
127,12.8
128,12.89
129,12.8
130,12.89
131,12.8
132,12.8
133,12.89
134,12.8
135,12.8
136,12.8
137,12.8
138,12.8
139,12.8
140,12.8
141,12.8
142,12.8
143,12.8
144,12.8
145,12.69
146,12.8
147,12.8
148,12.8
149,12.8
150,12.8
151,12.8
152,12.8
153,12.69
154,12.6
155,12.8
156,12.8
157,12.8
158,12.8
159,12.8
160,12.8
161,12.8
162,12.8
163,12.8
164,12.8
165,12.8
166,12.69
167,12.69
168,12.8
169,12.8
170,12.69
171,12.8
172,12.8
173,12.6
174,12.69
175,12.69
176,12.69
177,12.8
178,12.6
179,12.6
180,12.8
181,12.8
182,12.69
183,12.8
184,12.6
185,12.69
186,12.69
187,12.69
188,12.6
189,12.8
190,12.69
191,12.8
192,12.8
193,12.69
194,12.8
195,12.6
196,12.8
197,12.6
198,12.6
199,12.6
200,12.69
201,12.6
202,12.8
203,12.6
204,12.6
205,12.6
206,12.8
207,12.6
208,12.8
209,12.6
210,12.6
211,12.69
212,12.69
213,12.8
214,12.69
215,12.6
216,12.69
217,12.69
218,12.69
219,12.69
220,12.69
221,12.8
222,12.69
223,12.6
224,12.6
225,12.69
226,12.6
227,12.69
228,12.6
229,12.8
230,12.8
231,12.69
232,12.69
233,12.69
234,12.6
235,12.69
236,12.69
237,12.69
238,12.6
239,12.69
240,12.69
241,12.6
242,12.69
243,12.6
244,12.6
245,12.69
246,12.69
247,12.69
248,12.6
249,12.69
250,12.8
251,12.8
252,12.6
253,12.6
254,12.69
255,12.69
256,12.69
257,12.69
258,12.6
259,12.69
260,12.69
261,12.6
262,12.6
263,12.69
264,12.69
265,12.69
266,12.6
267,12.8
268,12.8
269,12.6
270,12.6
271,12.8
272,12.6
273,12.69
274,12.69
275,12.6
276,12.6
277,12.8
278,12.69
279,12.8
280,12.69
281,12.6
282,12.69
283,12.69
284,12.6
285,12.6
286,12.69
287,12.69
288,12.6
289,12.69
290,12.6
291,12.6
292,12.8
293,12.69
294,12.8
295,12.8
296,12.8
297,12.8
298,12.6
299,12.69
300,12.69
301,12.8
302,12.69
303,12.8
304,12.69
305,12.69
306,12.69
307,12.6
308,12.69
309,12.8
310,12.69
311,12.69
312,12.69
313,12.8
314,12.8
315,12.6
316,12.8
317,12.69
318,12.8
319,12.8
320,12.69
321,12.8
322,12.8
323,12.8
324,12.8
325,12.8
326,12.8
327,12.8
328,12.8
329,12.69
330,12.8
331,12.69
332,12.8
333,12.8
334,12.8
335,12.8
336,12.8
337,12.8
338,12.89
339,12.8
340,12.8
341,12.8
342,12.8
343,12.89
344,12.8
345,12.8
346,12.8
347,12.8
348,12.8
349,12.89
350,12.8
351,12.8
352,12.8
353,12.8
354,12.8
355,12.8
356,12.8
357,12.8
358,12.8
359,12.8
360,12.8
361,12.8
362,12.69
363,12.8
364,12.8
365,12.8
366,12.69
367,12.8
368,12.8
369,12.8
370,12.8
371,12.8
372,12.8
373,12.8
374,12.69
375,12.8
376,12.8
377,12.8
378,12.8
379,12.8
380,12.8
381,12.8
382,12.8
383,12.8
384,12.6
385,12.8
386,12.8
387,12.6
388,12.6
389,12.69
390,12.69
391,12.69
392,12.8
393,12.6
394,12.6
395,12.69
396,12.69
397,12.8
398,12.69
399,12.6
400,12.69
401,12.8
402,12.6
403,12.6
404,12.69
405,12.6
406,12.69
407,12.6
408,12.69
409,12.69
410,12.6
411,12.6
412,12.6
413,12.6
414,12.69
415,12.6
416,12.69
417,12.6
418,12.69
419,12.6
420,12.6
421,12.69
422,12.69
423,12.6
424,12.69
425,12.69
426,12.6
427,12.6
428,12.6
429,12.69
430,12.6
431,12.5
432,12.6
433,12.6
434,12.6
435,12.6
436,12.6
437,12.6
438,12.6
439,12.6
440,12.69
441,12.6
442,12.6
443,12.6
444,12.6
445,12.6
446,12.5
447,12.6
448,12.6
449,12.6
450,12.5
451,12.6
452,12.5
453,12.6
454,12.6
455,12.6
456,12.6
457,12.5
458,12.6
459,12.6
460,12.6
461,12.5
462,12.6
463,12.5
464,12.6
465,12.5
466,12.5
467,12.5
468,12.6
469,12.6
470,12.6
471,12.6
472,12.5
473,12.5
474,12.6
475,12.6
476,12.6
477,12.5
478,12.5
479,12.5
480,12.6
481,12.5
482,12.6
483,12.6
484,12.6
485,12.5
486,12.5
487,12.6
488,12.6
489,12.5
490,12.6
491,12.5
492,12.6
493,12.5
494,12.6
495,12.6
496,12.5
497,12.6
498,12.5
499,12.5
500,12.5
501,12.6
502,12.5
503,12.6
504,12.5
505,12.6
506,12.5
507,12.6
508,12.6
509,12.5
510,12.6
511,12.6
512,12.5
513,12.5
514,12.6
515,12.5
516,12.5
517,12.5
518,12.5
519,12.5
520,12.6
521,12.6
522,12.5
523,12.5
524,12.6
525,12.5
526,12.5
527,12.5
528,12.5
529,12.5
530,12.6
531,12.5
532,12.5
533,12.5
534,12.5
535,12.6
536,12.5
537,12.6
538,12.5
539,12.5
540,12.5
541,12.5
542,12.5
543,12.6
544,12.5
545,12.5
546,12.6
547,12.6
548,12.5
549,12.5
550,12.6
551,12.6
552,12.5
553,12.6
554,12.5
555,12.5
556,12.5
557,12.6
558,12.5
559,12.5
560,12.6
561,12.5
562,12.6
563,12.69
564,12.5
565,12.6
566,12.6
567,12.6
568,12.5
569,12.6
570,12.5
571,12.6
572,12.6
573,12.6
574,12.8
575,12.8
576,12.6
577,12.8
578,12.6
579,12.6
580,12.69
581,12.6
582,12.6
583,12.69
584,12.6
585,12.8
586,12.69
587,12.69
588,12.69
589,12.8
590,12.6
591,12.8
592,12.8
593,12.8
594,12.8
595,12.6
596,12.69
597,12.69
598,12.8
599,12.89
600,12.8
601,12.8
602,12.69
603,12.69
604,12.8
605,12.8
606,12.8
607,12.8
608,12.8
609,12.69
610,12.89
611,12.89
612,12.8
613,12.8
614,12.8
615,12.8
616,12.8
617,12.89
618,12.89
619,12.8
620,12.8
621,12.89
622,12.89
623,12.8
624,12.8
625,12.89
626,12.89
627,12.8
628,12.89
629,12.89
630,12.8
631,12.89
632,12.89
633,12.8
634,12.8
635,13.0
636,12.89
637,13.0
638,13.0
639,13.0
640,12.8
641,12.89
642,13.0
643,12.89
644,12.8
645,13.0
646,12.89
647,12.89
648,13.0
649,12.8
650,12.89
651,12.8
652,12.89
653,13.0
654,12.89
655,12.89
656,12.89
657,12.89
658,13.0
659,12.89
660,12.8
661,12.89
662,12.89
663,12.89
664,12.89
665,12.89
666,13.0
667,13.0
668,12.89
669,12.89
