row_index,WTUR.TmOK.actTmVal
1,48901.61
2,48901.61
3,48901.62
4,48901.62
5,48901.62
6,48901.62
7,48901.62
8,48901.63
9,48901.63
10,48901.63
11,48901.63
12,48901.63
13,48901.64
14,48901.64
15,48901.64
16,48901.64
17,48901.64
18,48901.65
19,48901.65
20,48901.65
21,48901.65
22,48901.65
23,48901.66
24,48901.66
25,48901.66
26,48901.66
27,48901.66
28,48901.67
29,48901.67
30,48901.67
31,48901.67
32,48901.67
33,48901.68
34,48901.68
35,48901.68
36,48901.68
37,48901.68
38,48901.69
39,48901.69
40,48901.69
41,48901.69
42,48901.69
43,48901.7
44,48901.7
45,48901.7
46,48901.7
47,48901.7
48,48901.71
49,48901.71
50,48901.71
51,48901.71
52,48901.71
53,48901.72
54,48901.72
55,48901.72
56,48901.72
57,48901.72
58,48901.73
59,48901.73
60,48901.73
61,48901.73
62,48901.73
63,48901.74
64,48901.74
65,48901.74
66,48901.74
67,48901.74
68,48901.75
69,48901.75
70,48901.75
71,48901.75
72,48901.75
73,48901.76
74,48901.76
75,48901.76
76,48901.76
77,48901.76
78,48901.77
79,48901.77
80,48901.77
81,48901.77
82,48901.77
83,48901.78
84,48901.78
85,48901.78
86,48901.78
87,48901.78
88,48901.79
89,48901.79
90,48901.79
91,48901.79
92,48901.79
93,48901.8
94,48901.8
95,48901.8
96,48901.8
97,48901.8
98,48901.81
99,48901.81
100,48901.81
101,48901.81
102,48901.81
103,48901.82
104,48901.82
105,48901.82
106,48901.82
107,48901.82
108,48901.83
109,48901.83
110,48901.83
111,48901.83
112,48901.83
113,48901.84
114,48901.84
115,48901.84
116,48901.84
117,48901.84
118,48901.85
119,48901.85
120,48901.85
121,48901.85
122,48901.85
123,48901.86
124,48901.86
125,48901.86
126,48901.86
127,48901.86
128,48901.87
129,48901.87
130,48901.87
131,48901.87
132,48901.87
133,48901.88
134,48901.88
135,48901.88
136,48901.88
137,48901.88
138,48901.89
139,48901.89
140,48901.89
141,48901.89
142,48901.89
143,48901.9
144,48901.9
145,48901.9
146,48901.9
147,48901.9
148,48901.91
149,48901.91
150,48901.91
151,48901.91
152,48901.91
153,48901.92
154,48901.92
155,48901.92
156,48901.92
157,48901.92
158,48901.93
159,48901.93
160,48901.93
161,48901.93
162,48901.93
163,48901.94
164,48901.94
165,48901.94
166,48901.94
167,48901.94
168,48901.94
169,48901.95
170,48901.95
171,48901.95
172,48901.95
173,48901.95
174,48901.96
175,48901.96
176,48901.96
177,48901.96
178,48901.96
179,48901.97
180,48901.97
181,48901.97
182,48901.97
183,48901.97
184,48901.98
185,48901.98
186,48901.98
187,48901.98
188,48901.98
189,48901.99
190,48901.99
191,48901.99
192,48901.99
193,48901.99
194,48902.0
195,48902.0
196,48902.0
197,48902.0
198,48902.0
199,48902.01
200,48902.01
201,48902.01
202,48902.01
203,48902.01
204,48902.02
205,48902.02
206,48902.02
207,48902.02
208,48902.02
209,48902.03
210,48902.03
211,48902.03
212,48902.03
213,48902.03
214,48902.04
215,48902.04
216,48902.04
217,48902.04
218,48902.04
219,48902.05
220,48902.05
221,48902.05
222,48902.05
223,48902.05
224,48902.06
225,48902.06
226,48902.06
227,48902.06
228,48902.06
229,48902.07
230,48902.07
231,48902.07
232,48902.07
233,48902.07
234,48902.08
235,48902.08
236,48902.08
237,48902.08
238,48902.08
239,48902.09
240,48902.09
241,48902.09
242,48902.09
243,48902.09
244,48902.1
245,48902.1
246,48902.1
247,48902.1
248,48902.1
249,48902.11
250,48902.11
251,48902.11
252,48902.11
253,48902.11
254,48902.11
255,48902.12
256,48902.12
257,48902.12
258,48902.12
259,48902.12
260,48902.13
261,48902.13
262,48902.13
263,48902.13
264,48902.13
265,48902.14
266,48902.14
267,48902.14
268,48902.14
269,48902.14
270,48902.15
271,48902.15
272,48902.15
273,48902.15
274,48902.15
275,48902.16
276,48902.16
277,48902.16
278,48902.16
279,48902.16
280,48902.17
281,48902.17
282,48902.17
283,48902.17
284,48902.17
285,48902.18
286,48902.18
287,48902.18
288,48902.18
289,48902.18
290,48902.19
291,48902.19
292,48902.19
293,48902.19
294,48902.19
295,48902.2
296,48902.2
297,48902.2
298,48902.2
299,48902.2
300,48902.21
301,48902.21
302,48902.21
303,48902.21
304,48902.21
305,48902.22
306,48902.22
307,48902.22
308,48902.22
309,48902.22
310,48902.23
311,48902.23
312,48902.23
313,48902.23
314,48902.23
315,48902.24
316,48902.24
317,48902.24
318,48902.24
319,48902.24
320,48902.25
321,48902.25
322,48902.25
323,48902.25
324,48902.25
325,48902.26
326,48902.26
327,48902.26
328,48902.26
329,48902.27
330,48902.27
331,48902.27
332,48902.27
333,48902.27
334,48902.28
335,48902.28
336,48902.28
337,48902.28
338,48902.28
339,48902.28
340,48902.29
341,48902.29
342,48902.29
343,48902.29
344,48902.29
345,48902.3
346,48902.3
347,48902.3
348,48902.3
349,48902.3
350,48902.31
351,48902.31
352,48902.31
353,48902.31
354,48902.31
355,48902.32
356,48902.32
357,48902.32
358,48902.32
359,48902.32
360,48902.33
361,48902.33
362,48902.33
363,48902.33
364,48902.33
365,48902.34
366,48902.34
367,48902.34
368,48902.34
369,48902.34
370,48902.35
371,48902.35
372,48902.35
373,48902.35
374,48902.35
375,48902.36
376,48902.36
377,48902.36
378,48902.36
379,48902.36
380,48902.37
381,48902.37
382,48902.37
383,48902.37
384,48902.37
385,48902.38
386,48902.38
387,48902.38
388,48902.38
389,48902.38
390,48902.39
391,48902.39
392,48902.39
393,48902.39
394,48902.39
395,48902.4
396,48902.4
397,48902.4
398,48902.4
399,48902.4
400,48902.41
401,48902.41
402,48902.41
403,48902.41
404,48902.41
405,48902.42
406,48902.42
407,48902.42
408,48902.42
409,48902.42
410,48902.43
411,48902.43
412,48902.43
413,48902.43
414,48902.43
415,48902.44
416,48902.44
417,48902.44
418,48902.44
419,48902.44
420,48902.45
421,48902.45
422,48902.45
423,48902.45
424,48902.45
425,48902.45
426,48902.46
427,48902.46
428,48902.46
429,48902.46
430,48902.46
431,48902.47
432,48902.47
433,48902.47
434,48902.47
435,48902.47
436,48902.48
437,48902.48
438,48902.48
439,48902.48
440,48902.48
441,48902.49
442,48902.49
443,48902.49
444,48902.49
445,48902.49
446,48902.5
447,48902.5
448,48902.5
449,48902.5
450,48902.51
451,48902.51
452,48902.51
453,48902.51
454,48902.51
455,48902.52
456,48902.52
457,48902.52
458,48902.52
459,48902.52
460,48902.53
461,48902.53
462,48902.53
463,48902.53
464,48902.53
465,48902.54
466,48902.54
467,48902.54
468,48902.54
469,48902.54
470,48902.55
471,48902.55
472,48902.55
473,48902.55
474,48902.55
475,48902.56
476,48902.56
477,48902.56
478,48902.56
479,48902.56
480,48902.57
481,48902.57
482,48902.57
483,48902.57
484,48902.57
485,48902.58
486,48902.58
487,48902.58
488,48902.58
489,48902.58
490,48902.59
491,48902.59
492,48902.59
493,48902.59
494,48902.59
495,48902.6
496,48902.6
497,48902.6
498,48902.6
499,48902.6
500,48902.61
501,48902.61
502,48902.61
503,48902.61
504,48902.61
505,48902.61
506,48902.62
507,48902.62
508,48902.62
509,48902.62
510,48902.62
511,48902.63
512,48902.63
513,48902.63
514,48902.63
515,48902.63
516,48902.64
517,48902.64
518,48902.64
519,48902.64
520,48902.64
521,48902.65
522,48902.65
523,48902.65
524,48902.65
525,48902.65
526,48902.66
527,48902.66
